@relation 'ulcer_classification-weka.filters.unsupervised.attribute.Remove-R1-6,8-40,42-54,56-77,79-84,86-121,124-129,131-158,160-185'

@attribute color_bgr_b_centroid numeric
@attribute color_lab_a_intensity2 numeric
@attribute color_luv_l_centroid numeric
@attribute color_norm_r_variance numeric
@attribute color_norm_b_intensity1 numeric
@attribute haralick_luv_u_contrast numeric
@attribute haralick_luv_u_energy numeric
@attribute haralick_luv_v_homogeneity numeric
@attribute lbph_bgr_b_entropy numeric
@attribute wavelet_bgr_r_3_hl_energy numeric
@attribute classification {ULCER,NON_ULCER}

@data
-0.718876,-0.228571,-0.377049,-0.910684,-0.667984,-0.894614,-0.9128,-0.738426,0.751582,-0.939747,ULCER
-0.7751,-0.185714,-0.401639,-0.952628,-0.715415,-0.938772,-0.942299,-0.837564,0.577387,-0.905169,ULCER
-0.767068,-0.214286,-0.434426,-0.933454,-0.699605,-0.952616,-0.876606,-0.720739,0.788549,-0.962953,ULCER
-0.742972,-0.214286,-0.401639,-0.930922,-0.731225,-0.886811,-0.890173,-0.641239,0.823464,-0.933276,ULCER
-0.799197,-0.171429,-0.409836,-0.927423,-0.818182,-0.914649,-0.902736,-0.716926,0.779316,-0.947216,ULCER
-0.7751,-0.2,-0.42623,-0.982244,-0.70751,-0.972387,-0.889161,-0.767239,0.910227,-0.954359,ULCER
-0.751004,-0.2,-0.377049,-0.96238,-0.6917,-0.929468,-0.797746,-0.591458,0.803015,-0.9303,ULCER
-0.638554,-0.214286,-0.295082,-0.857902,-0.652174,-0.748673,-0.860376,-0.600617,0.729362,-0.888144,ULCER
-0.686747,-0.228571,-0.409836,-0.963826,-0.652174,-0.825133,-0.751921,-0.379585,0.829722,-0.915988,ULCER
-0.791165,-0.185714,-0.409836,-0.952875,-0.731225,-0.966422,-0.831042,-0.709614,0.905045,-0.979886,ULCER
-0.799197,-0.228571,-0.459016,-0.90843,-0.72332,-0.919563,-0.892278,-0.67344,0.770493,-0.907223,ULCER
-0.7751,-0.2,-0.409836,-0.950656,-0.70751,-0.917012,-0.70402,-0.385741,0.9008,-0.960104,ULCER
-0.815261,-0.214286,-0.45082,-0.924172,-0.762846,-0.966347,-0.963667,-0.893144,0.78305,-0.974435,ULCER
-0.807229,-0.171429,-0.393443,-0.970196,-0.72332,-0.941098,-0.741883,-0.489053,0.917552,-0.962023,ULCER
-0.759036,-0.185714,-0.368852,-0.976584,-0.715415,-0.912473,-0.870265,-0.718551,0.664142,-0.962276,ULCER
-0.301205,-0.314286,-0.147541,-0.980943,-0.462451,-0.908946,-0.967627,-0.920686,0.00103,-0.970257,ULCER
-0.477912,-0.285714,-0.172131,-0.966016,-0.557312,-0.959969,-0.999315,-0.993643,0.033905,-0.988524,ULCER
-0.718876,-0.185714,-0.360656,-0.959128,-0.675889,-0.945187,-0.90132,-0.752082,0.721118,-0.966065,ULCER
-0.004016,-0.385714,0.081967,-0.99583,-0.383399,-0.866251,-0.844474,-0.682068,0.657014,-0.905624,ULCER
-0.116466,-0.357143,0,-0.9935,-0.422925,-0.886886,-0.861637,-0.719356,0.670657,-0.900974,ULCER
-0.638554,-0.214286,-0.295082,-0.940117,-0.628458,-0.557148,-0.814138,-0.38288,0.763053,-0.883119,ULCER
-0.694779,-0.285714,-0.42623,-0.915075,-0.525692,-0.938247,-0.960878,-0.906735,-0.070415,-0.91087,ULCER
-0.662651,-0.185714,-0.254098,-0.977784,-0.675889,-0.948789,-0.895332,-0.757778,0.776943,-0.954289,ULCER
-0.791165,-0.157143,-0.352459,-0.970194,-0.70751,-0.975952,-0.982693,-0.942987,0.579089,-0.94639,ULCER
-0.694779,-0.214286,-0.327869,-0.944436,-0.667984,-0.80311,-0.971717,-0.864532,0.671015,-0.938092,ULCER
-0.188755,-0.328571,-0.016393,-0.993294,-0.43083,-0.873755,-0.974707,-0.949824,-0.024621,-0.92937,ULCER
0.044177,-0.4,0.172131,-0.99776,-0.375494,-0.939597,-0.900504,-0.821462,0.636721,-0.933002,ULCER
-0.767068,-0.157143,-0.344262,-0.974743,-0.73913,-0.870528,-0.800228,-0.443803,0.826784,-0.939379,ULCER
-0.670683,-0.228571,-0.278689,-0.913861,-0.652174,-0.853383,-0.975512,-0.875907,0.684216,-0.974525,ULCER
-0.694779,-0.171429,-0.286885,-0.933876,-0.675889,-0.614437,-0.865041,-0.449454,0.868862,-0.939907,ULCER
-0.751004,-0.185714,-0.352459,-0.948246,-0.699605,-0.875668,-0.891411,-0.65894,0.815963,-0.962675,ULCER
-0.807229,-0.257143,-0.467213,-0.972011,-0.715415,-0.900655,-0.859821,-0.617904,0.793687,-0.880593,ULCER
-0.285141,-0.257143,-0.106557,-0.964964,-0.454545,-0.673338,-0.959239,-0.891389,0.221527,-0.870792,ULCER
-0.606426,-0.2,-0.270492,-0.929693,-0.652174,-0.82562,-0.944735,-0.823839,0.669707,-0.925419,ULCER
-0.670683,-0.185714,-0.278689,-0.970902,-0.667984,-0.855409,-0.885018,-0.666677,0.840547,-0.910917,ULCER
-0.791165,-0.185714,-0.401639,-0.959827,-0.762846,-0.964096,-0.888387,-0.703802,0.85096,-0.944158,ULCER
-0.791165,-0.2,-0.393443,-0.989743,-0.747036,-0.978353,-0.940068,-0.831019,0.746749,-0.915964,ULCER
-0.73494,-0.157143,-0.311475,-0.974466,-0.699605,-0.945263,-0.899829,-0.752551,0.787908,-0.916301,ULCER
-0.751004,-0.2,-0.385246,-0.949994,-0.699605,-0.738281,-0.863463,-0.538865,0.8105,-0.823601,ULCER
-0.807229,-0.185714,-0.434426,-0.968885,-0.72332,-0.754,-0.740631,-0.242679,0.780519,-0.915407,ULCER
-0.839357,-0.314286,-0.590164,-0.741721,-0.73913,-0.435818,-0.886685,-0.499736,0.681987,-0.805679,ULCER
-0.831325,-0.242857,-0.467213,-0.916059,-0.715415,-0.445835,-0.889763,-0.535865,0.773299,-0.866838,ULCER
-0.686747,-0.171429,-0.311475,-0.918179,-0.675889,-0.908946,-0.939608,-0.832308,0.712948,-0.876951,ULCER
-0.807229,-0.4,-0.622951,-0.807155,-0.628458,-0.900129,-0.958211,-0.830676,0.53542,-0.928381,ULCER
-0.759036,-0.228571,-0.42623,-0.941366,-0.683794,-0.531749,-0.84931,-0.460519,0.92136,-0.895062,ULCER
-0.911647,-0.471429,-0.803279,-0.36212,-0.731225,-0.789679,-0.9818,-0.916186,0.629486,-0.882623,ULCER
-0.911647,-0.385714,-0.737705,-0.814166,-0.715415,-0.514453,-0.922478,-0.666282,0.669077,-0.889479,ULCER
-0.759036,-0.3,-0.467213,-0.966981,-0.675889,-0.926279,-0.940449,-0.787863,0.647011,-0.908683,ULCER
-0.678715,-0.242857,-0.385246,-0.907943,-0.70751,-0.858786,-0.864049,-0.605521,0.800972,-0.919954,ULCER
-0.783133,-0.2,-0.42623,-0.966808,-0.70751,-0.918513,-0.760636,-0.39946,0.826935,-0.897706,ULCER
-0.783133,-0.371429,-0.565574,-0.885012,-0.628458,-0.814328,-0.948625,-0.823359,0.665903,-0.917175,ULCER
-0.799197,-0.2,-0.45082,-0.978407,-0.731225,-0.919488,-0.803553,-0.525428,0.84426,-0.922151,ULCER
-0.493976,-0.328571,-0.155738,-0.917278,-0.612648,-0.884335,-0.977322,-0.910394,0.649237,-0.941945,ULCER
-0.73494,-0.242857,-0.42623,-0.977832,-0.660079,-0.886661,-0.694406,-0.404835,0.842093,-0.949619,ULCER
-0.783133,-0.228571,-0.459016,-0.974614,-0.731225,-0.992459,-0.948883,-0.93005,0.718058,-0.963168,ULCER
-0.694779,-0.171429,-0.319672,-0.968696,-0.652174,-0.913148,-0.903008,-0.722114,0.730125,-0.896705,ULCER
-0.73494,-0.228571,-0.409836,-0.957827,-0.683794,-0.873567,-0.851006,-0.602646,0.824629,-0.804893,ULCER
-0.823293,-0.242857,-0.47541,-0.96999,-0.731225,-0.870641,-0.73217,-0.348929,0.756727,-0.893054,ULCER
-0.839357,-0.214286,-0.47541,-0.989351,-0.762846,-0.973475,-0.900774,-0.77902,0.749286,-0.93668,ULCER
-0.678715,-0.228571,-0.360656,-0.945997,-0.644269,-0.800822,-0.909325,-0.729147,0.759273,-0.842108,ULCER
-0.815261,-0.242857,-0.491803,-0.955755,-0.770751,-0.973513,-0.964925,-0.895769,0.542069,-0.959472,ULCER
-0.839357,-0.214286,-0.45082,-0.931732,-0.849802,-0.934495,-0.836653,-0.551865,0.86531,-0.94568,ULCER
-0.783133,-0.214286,-0.45082,-0.964704,-0.699605,-0.951153,-0.909325,-0.725301,0.739467,-0.92261,ULCER
-0.799197,-0.3,-0.532787,-0.917865,-0.70751,-0.437919,-0.755282,0.004194,0.828751,-0.824677,ULCER
-0.7751,-0.214286,-0.42623,-0.967179,-0.70751,-0.89544,-0.672829,-0.258679,0.971185,-0.895385,ULCER
-0.35743,-0.4,-0.106557,-0.99725,-0.494071,-0.985781,-0.940906,-0.903207,0.69343,-0.189428,NON_ULCER
-0.325301,-0.528571,-0.07377,-0.997609,-0.478261,-0.97794,-0.831593,-0.741551,0.836205,-0.960569,NON_ULCER
-0.261044,-0.442857,-0.081967,-0.994439,-0.454545,-0.961245,-0.893023,-0.774814,0.759152,-0.887457,NON_ULCER
-0.140562,-0.471429,0.02459,-0.997227,-0.422925,-0.940986,-0.846571,-0.627034,0.804262,-0.923955,NON_ULCER
0.004016,-0.557143,0.213115,-0.996731,-0.391304,-0.976439,-0.948643,-0.935684,0.520168,-0.852089,NON_ULCER
-0.413655,-0.357143,-0.180328,-0.977816,-0.573123,-0.883059,-0.820047,-0.49458,0.825959,-0.0853,NON_ULCER
-0.13253,-0.514286,0.040984,-0.997246,-0.43083,-0.948564,-0.650319,-0.436741,0.838122,-0.88176,NON_ULCER
-0.228916,-0.514286,-0.057377,-0.996977,-0.438735,-0.965859,-0.781551,-0.627846,0.690127,-0.849287,NON_ULCER
-0.277108,-0.528571,-0.147541,-0.99002,-0.422925,-0.929093,-0.896379,-0.761741,0.426796,-0.906371,NON_ULCER
-0.526104,-0.571429,-0.278689,-0.995599,-0.533597,-0.951866,-0.681109,-0.467866,0.865808,-0.881763,NON_ULCER
-0.51004,-0.528571,-0.278689,-0.98733,-0.525692,-0.960194,-0.821673,-0.649179,0.524055,-0.37387,NON_ULCER
-0.236948,-0.528571,-0.032787,-0.996529,-0.478261,-0.941211,-0.740761,-0.495553,0.746391,-0.9223,NON_ULCER
-0.317269,-0.542857,-0.188525,-0.992321,-0.462451,-0.965709,-0.846259,-0.741949,0.704613,-0.934685,NON_ULCER
-0.269076,-0.442857,-0.081967,-0.993712,-0.44664,-0.936746,-0.929091,-0.822001,0.586928,-0.897485,NON_ULCER
-0.349398,-0.442857,-0.155738,-0.989119,-0.470356,-0.948114,-0.892802,-0.753578,0.75803,-0.925283,NON_ULCER
0.060241,-0.557143,0.180328,-0.99682,-0.41502,-0.876869,-0.770577,-0.524143,0.833362,-0.892621,NON_ULCER
0.172691,-0.628571,0.311475,-0.99629,-0.383399,-0.864713,-0.831827,-0.558408,0.689193,-0.880082,NON_ULCER
-0.196787,-0.542857,0.057377,-0.998983,-0.462451,-0.971224,-0.650661,-0.636359,0.789686,-0.91849,NON_ULCER
-0.309237,-0.557143,-0.065574,-0.998758,-0.486166,-0.987357,-0.833955,-0.789613,0.702626,-0.958526,NON_ULCER
-0.309237,-0.514286,-0.172131,-0.998606,-0.422925,-0.989645,-0.886965,-0.859582,0.543765,-0.956225,NON_ULCER
-0.73494,-0.628571,-0.557377,-0.990858,-0.541502,-0.98338,-0.788207,-0.737645,0.58204,-0.937957,NON_ULCER
-0.686747,-0.6,-0.516393,-0.989492,-0.533597,-0.954904,-0.522486,-0.323898,0.772456,-0.905311,NON_ULCER
-0.13253,-0.5,0.057377,-0.995534,-0.422925,-0.789266,-0.680138,-0.200284,0.83292,-0.806932,NON_ULCER
0.100402,-0.585714,0.311475,-0.998434,-0.41502,-0.981617,-0.970937,-0.936732,0.526671,-0.981384,NON_ULCER
0.004016,-0.571429,0.122951,-0.990077,-0.367589,-0.893414,-0.855247,-0.631432,0.761614,-0.840368,NON_ULCER
-0.076305,-0.542857,0.081967,-0.993511,-0.41502,-0.845655,-0.894465,-0.762656,0.491585,-0.893015,NON_ULCER
-0.317269,-0.457143,-0.090164,-0.996314,-0.470356,-0.929618,-0.895528,-0.785579,0.735466,-0.912381,NON_ULCER
-0.646586,-0.585714,-0.418033,-0.99043,-0.557312,-0.976777,-0.869699,-0.766457,0.684416,-0.917213,NON_ULCER
-0.751004,-0.642857,-0.680328,-0.987671,-0.525692,-0.976364,-0.903145,-0.842394,0.481408,-0.952239,NON_ULCER
-0.429719,-0.457143,-0.163934,-0.997363,-0.509881,-0.987469,-0.935999,-0.890675,0.691126,-0.967295,NON_ULCER
0.02008,-0.528571,0.229508,-0.995294,-0.422925,-0.905569,-0.818449,-0.615552,0.854792,-0.914872,NON_ULCER
