@relation 'ulcer_classification-weka.filters.unsupervised.attribute.Remove-R1-13,15-25,27-29,31-39,41-52,54-76,78-86,88-92,94-120,122-131,133-179,181-186'

@attribute color_bgr_g_intensity1 numeric
@attribute color_lab_a_mean numeric
@attribute color_lab_b_variance numeric
@attribute color_lab_l_intensity2 numeric
@attribute color_luv_u_variance numeric
@attribute color_norm_g_variance numeric
@attribute color_norm_r_intensity1 numeric
@attribute color_norm_r_frequency1 numeric
@attribute haralick_lab_b_correlation numeric
@attribute haralick_bgr_bg_contrast numeric
@attribute wavelet_bgr_g_3_hl_energy numeric
@attribute classification {ULCER,NON_ULCER}

@data
-0.808765,0.732899,-0.86518,-0.467742,-0.905009,-0.921505,0.343137,-0.784,-0.08112,-0.936109,-0.858816,ULCER
-0.673307,0.586103,-0.88766,-0.427419,-0.681694,-0.97046,0.078431,-0.776,0.38565,-0.925567,-0.923465,ULCER
-0.250996,0.420078,-0.97279,0.040323,-0.931256,-0.96366,-0.245098,-0.984,-0.994027,-0.878109,-0.962634,ULCER
-0.832669,0.798816,-0.858436,-0.435484,-0.907262,-0.959478,0.186275,-0.88,0.145506,-0.938865,-0.896135,ULCER
1,0.395801,-0.995621,1,-0.986906,-0.969761,-0.215686,-0.984,-0.997233,-0.92846,-0.976604,ULCER
-0.123506,0.51635,-0.957777,0.120968,-0.779721,-0.938549,-0.294118,-0.984,-0.997656,-0.942914,-0.939605,ULCER
-0.824701,0.779327,-0.810598,-0.475806,-0.923046,-0.903815,0.215686,-0.824,0.135573,-0.960924,-0.873622,ULCER
-0.87251,0.401738,-0.833237,-0.604839,-0.699236,-0.851108,0.284314,-0.872,-0.151664,-0.907514,-0.954909,ULCER
-0.848606,0.650358,-0.418262,-0.467742,0.364312,-0.866435,0.196078,-0.92,0.284936,-0.929374,-0.907791,ULCER
-0.800797,0.512264,-0.803355,-0.524194,-0.430212,-0.874639,0.254902,-0.8,-0.366189,-0.943246,-0.918376,ULCER
-0.689243,0.73206,-0.728461,-0.282258,-0.752792,-0.840724,0.156863,-0.856,-0.357007,-0.814691,-0.881807,ULCER
-0.681275,0.794654,-0.861453,-0.346774,-0.597005,-0.953749,0.019608,-0.96,-0.318379,-0.822768,-0.829484,ULCER
-0.657371,0.756334,-0.865524,-0.314516,-0.808705,-0.902156,0.127451,-0.752,0.486888,-0.634402,-0.779613,ULCER
-0.23506,0.533093,-0.951745,0.040323,-0.961419,-0.992682,-0.245098,-0.984,-0.998065,-0.970295,-0.975532,ULCER
-0.74502,0.544255,-0.584323,-0.491935,0.104069,-0.708388,0.27451,-0.872,-0.435468,-0.85977,-0.916658,ULCER
1,0.287529,-0.947257,0.145161,-0.845253,-0.9811,-0.284314,-0.992,-0.996175,-0.780617,-0.963788,ULCER
-0.737052,0.783433,-0.950145,-0.387097,-0.73687,-0.919572,0.156863,-0.832,0.040139,-0.946779,-0.953783,ULCER
-0.059761,0.449378,-0.98425,0.209677,-0.954405,-0.977903,-0.313725,-0.992,-0.998104,-0.898518,-0.975438,ULCER
-0.378486,0.808564,-0.2076,-0.290323,-0.743268,-0.869648,0.22549,-0.784,0.289856,-0.802126,-0.751214,ULCER
-0.721116,0.661796,-0.649943,-0.403226,-0.003989,-0.781187,0.166667,-0.832,-0.376047,-0.911242,-0.931876,ULCER
-0.075697,0.379644,-0.810147,0.137097,-0.745675,-0.96081,-0.441176,-0.504,-0.00939,-0.82608,-0.701649,ULCER
-0.760956,0.818274,-0.933626,-0.330645,-0.964516,-0.939298,0.166667,-0.888,0.611835,-0.915871,-0.909732,ULCER
-0.641434,0.758145,-0.971679,-0.137097,-0.844914,-0.916549,-0.039216,-0.968,-0.22179,-0.885181,-0.91974,ULCER
1,0.382406,-0.802959,1,-0.885135,-0.953391,-0.382353,-0.984,-0.998166,-0.867514,-0.955623,ULCER
-0.633466,0.747228,-0.415179,-0.33871,-0.714101,-0.814222,0.117647,-0.92,-0.543175,-0.8126,-0.868113,ULCER
-0.689243,0.812643,-0.724283,-0.225806,-0.880553,-0.95303,0.22549,-0.824,-0.237318,-0.900658,-0.895717,ULCER
