@relation 'ulcer_classification-weka.filters.unsupervised.attribute.Remove-R1,3-24,26-31,33-48,50-54,56-76,80-83,85-101,103-119,121-146,148-159,161-173,175-186'

@attribute color_bgr_g_mean numeric
@attribute color_lab_l_mean numeric
@attribute color_lab_a_centroid numeric
@attribute color_luv_l_mean numeric
@attribute color_luv_l_centroid numeric
@attribute color_norm_g_variance numeric
@attribute color_norm_r_variance numeric
@attribute color_norm_b_centroid numeric
@attribute color_norm_r_asymetry numeric
@attribute haralick_bgr_g_contrast numeric
@attribute haralick_lab_b_homogeneity numeric
@attribute haralick_lab_ab_contrast numeric
@attribute lbph_bgr_b_energy numeric
@attribute wavelet_bgr_b_3_hl_energy numeric
@attribute classification {ULCER,NON_ULCER}

@data
-0.872525,-0.701616,0.354839,-0.703074,-0.645161,-0.75729,-0.825731,-0.654135,0.140811,-0.935279,-0.183431,-0.453432,0.277519,-0.877456,ULCER
-0.723848,-0.427889,0.709677,-0.428829,-0.41129,-0.928984,-0.95669,-0.473684,0.140817,-0.931435,0.019122,-0.617029,0.331221,-0.780114,ULCER
-0.592898,-0.28969,0.709677,-0.290556,-0.322581,-0.909044,-0.928047,-0.443609,0.140838,-0.924127,-0.084826,-0.642803,0.046723,-0.817115,ULCER
-0.657381,-0.30094,0.83871,-0.301735,-0.33871,-0.933873,-0.96055,-0.593985,0.14084,-0.970791,-0.184458,-0.87049,-0.145136,-0.907894,ULCER
-0.675546,-0.336812,0.774194,-0.337369,-0.370968,-0.823152,-0.897764,-0.518797,0.14091,-0.841845,0.186798,-0.613044,0.3239,-0.812705,ULCER
-0.690061,-0.379657,0.741935,-0.380198,-0.370968,-0.925834,-0.951055,-0.488722,0.14109,-0.932747,0.061118,-0.573891,0.342255,-0.860583,ULCER
-0.733573,-0.427104,0.709677,-0.428243,-0.403226,-0.944296,-0.965779,-0.548872,0.140809,-0.918667,-0.414648,-0.730454,0.027149,-0.736273,ULCER
-0.639181,-0.293469,0.806452,-0.293894,-0.322581,-0.969433,-0.964053,-0.503759,0.140962,-0.947826,-0.25584,-0.682448,0.1686,-0.646768,ULCER
-0.567372,-0.275192,0.677419,-0.276218,-0.306452,-0.976652,-0.952984,-0.368421,0.14174,-0.939754,-0.291397,-0.64354,0.001428,-0.696539,ULCER
-0.671943,-0.317483,0.83871,-0.317785,-0.33871,-0.945069,-0.956092,-0.533835,0.140926,-0.943927,-0.141165,-0.717026,0.134128,-0.855463,ULCER
-0.521525,-0.200477,0.741935,-0.200741,-0.241935,-0.865488,-0.924726,-0.413534,0.140885,-0.757069,-0.40735,-0.732127,-0.068474,-0.774645,ULCER
-0.415944,-0.124826,0.612903,-0.125714,-0.080645,-0.963097,-0.957147,-0.052632,0.140802,-0.898571,-0.957068,-0.544035,-0.597329,-0.46665,ULCER
-0.09781,0.118195,0.290323,0.117245,0.129032,-0.984938,-0.993006,0.082707,0.132838,-0.938055,-0.227207,-0.761934,0.092167,-0.579313,ULCER
-0.239013,-0.005264,0.387097,-0.006348,0.016129,-0.97791,-0.986683,-0.007519,0.139178,-0.952667,-0.040245,-0.813531,0.376304,-0.56697,ULCER
-0.748577,-0.399874,0.774194,-0.400516,-0.427419,-0.975104,-0.982852,-0.56391,0.141448,-0.974312,-0.098108,-0.924006,0.12663,-0.913235,ULCER
-0.741321,-0.427176,0.709677,-0.428006,-0.451613,-0.970376,-0.979746,-0.548872,0.141479,-0.974569,-0.032301,-0.889673,0.249552,-0.839384,ULCER
-0.743757,-0.399321,0.774194,-0.4008,-0.443548,-0.913447,-0.913968,-0.578947,0.140908,-0.971196,-0.036709,-0.804924,-0.115884,-0.870899,ULCER
-0.742315,-0.409958,0.741935,-0.41126,-0.435484,-0.971536,-0.982089,-0.533835,0.141534,-0.957435,0.103948,-0.905511,0.070029,-0.934979,ULCER
-0.238756,-0.006367,0.354839,-0.007485,0.040323,-0.971017,-0.976768,0.037594,0.138835,-0.92973,-0.000167,-0.664445,0.097586,-0.695655,ULCER
-0.75062,-0.425517,0.741935,-0.42609,-0.443548,-0.946464,-0.959588,-0.56391,0.141097,-0.955623,-0.031813,-0.854849,0.059388,-0.791204,ULCER
-0.752902,-0.413548,0.774194,-0.414371,-0.451613,-0.948713,-0.967945,-0.578947,0.141375,-0.896991,-0.02833,-0.848799,0.221474,-0.884319,ULCER
-0.779155,-0.453035,0.709677,-0.454203,-0.491935,-0.956405,-0.967656,-0.62406,0.141556,-0.986107,0.135836,-0.919333,0.41498,-0.937767,ULCER
-0.717413,-0.380433,0.774194,-0.381263,-0.419355,-0.917087,-0.899432,-0.56391,0.140866,-0.972829,-0.356584,-0.781314,-0.209882,-0.752308,ULCER
-0.714266,-0.396745,0.709677,-0.398103,-0.41129,-0.944902,-0.968572,-0.518797,0.141181,-0.938866,0.083222,-0.820418,0.221565,-0.899773,ULCER
-0.782129,-0.439583,0.709677,-0.440665,-0.419355,-0.976986,-0.984211,-0.654135,0.142364,-0.990938,0.088525,-0.887607,0.077855,-0.803862,ULCER
-0.760682,-0.415862,0.774194,-0.417001,-0.427419,-0.946463,-0.974423,-0.578947,0.140936,-0.962358,0.121728,-0.906544,0.110489,-0.940025,ULCER
-0.602449,-0.272486,0.774194,-0.273378,-0.306452,-0.845536,-0.921498,-0.458647,0.140851,-0.698623,-0.091371,-0.553233,0.026365,-0.666092,ULCER
-0.827366,-0.584902,0.516129,-0.585488,-0.556452,-0.94506,-0.957173,-0.533835,0.140747,-0.988647,-0.141669,-0.860013,0.11215,-0.934094,ULCER
-0.790337,-0.487132,0.645161,-0.487664,-0.516129,-0.973409,-0.985193,-0.593985,0.140802,-0.987842,-0.027156,-0.922825,0.235686,-0.921105,ULCER
-0.678295,-0.373526,0.677419,-0.374775,-0.41129,-0.954656,-0.977589,-0.413534,0.140701,-0.978289,-0.047408,-0.902757,0.172071,-0.904165,ULCER
-0.710539,-0.434729,0.580645,-0.436016,-0.41129,-0.921891,-0.953095,-0.443609,0.140824,-0.944381,-0.107876,-0.851996,0.038094,-0.876759,ULCER
-0.71615,-0.385827,0.741935,-0.387268,-0.395161,-0.947689,-0.964786,-0.533835,0.141065,-0.958937,0.13632,-0.850717,0.376733,-0.864169,ULCER
-0.718358,-0.413501,0.709677,-0.414489,-0.370968,-0.952423,-0.967321,-0.548872,0.141136,-0.982429,-0.115378,-0.875556,0.176548,-0.906435,ULCER
-0.794343,-0.530305,0.580645,-0.531074,-0.508065,-0.901563,-0.938304,-0.56391,0.140851,-0.972104,-0.170652,-0.873884,-0.015485,-0.939099,ULCER
-0.733683,-0.402932,0.741935,-0.404032,-0.451613,-0.905909,-0.94388,-0.548872,0.140895,-0.900449,-0.209378,-0.773345,0.386306,-0.779441,ULCER
-0.540055,-0.241325,0.677419,-0.242183,-0.298387,-0.866157,-0.908496,-0.413534,0.140871,-0.507186,-0.288462,-0.597796,0.158208,-0.709661,ULCER
-0.602821,-0.286955,0.741935,-0.287808,-0.330645,-0.918898,-0.935284,-0.413534,0.1409,-0.827271,-0.453778,-0.496323,0.524615,-0.768372,ULCER
-0.676271,-0.3954,0.645161,-0.395966,-0.403226,-0.957395,-0.966176,-0.428571,0.14112,-0.976167,-0.077819,-0.889722,0.244568,-0.94236,ULCER
-0.738546,-0.43359,0.677419,-0.434414,-0.451613,-0.907785,-0.929055,-0.548872,0.140926,-0.755362,0.003618,-0.731733,0.377735,-0.711168,ULCER
-0.710373,-0.458378,0.483871,-0.459315,-0.5,-0.728233,-0.847471,-0.533835,0.140817,-0.905103,-0.155466,-0.589582,0.410153,-0.881765,ULCER
