@relation 'ulcer_classification-weka.filters.unsupervised.attribute.Remove-R1-8,10-41,43-72,75-77,79-103,105-130,132-146,148-158,160-185'

@attribute color_bgr_r_centroid numeric
@attribute color_lab_b_intensity2 numeric
@attribute color_norm_b_mean numeric
@attribute color_norm_g_mean numeric
@attribute color_norm_r_variance numeric
@attribute haralick_bgr_g_entropy numeric
@attribute haralick_luv_v_correlation numeric
@attribute haralick_lab_ab_contrast numeric
@attribute lbph_bgr_b_entropy numeric
@attribute wavelet_bgr_r_3_hl_energy numeric
@attribute classification {ULCER,NON_ULCER}

@data
-0.221757,-0.386667,-0.41263,-0.071865,-0.861049,0.528903,-0.695692,-0.778343,0.685405,-0.911591,ULCER
-0.020921,-0.266667,-0.546711,-0.2248,-0.947077,0.214499,-0.254608,-0.814143,0.679501,-0.912962,ULCER
0.129707,-0.293333,-0.45614,-0.124611,-0.950446,0.513911,-0.417796,-0.793957,0.761471,-0.72897,ULCER
0.046025,-0.266667,-0.50673,-0.174281,-0.961331,0.191068,-0.206604,-0.881688,0.829754,-0.870137,ULCER
0.012552,-0.28,-0.530138,-0.202815,-0.924137,0.316333,-0.185806,-0.891479,0.745032,-0.92096,ULCER
0.196653,-0.306667,-0.362747,0.074723,-0.93792,0.607392,-0.328429,-0.656063,0.903349,-0.856352,ULCER
0.179916,-0.293333,-0.430344,-0.075481,-0.959665,0.476027,-0.268574,-0.815696,0.818812,-0.935405,ULCER
-0.154812,-0.36,-0.366649,0.020276,-0.765052,0.695088,-0.414885,-0.634842,0.519199,-0.946719,ULCER
0.171548,-0.293333,-0.462551,-0.12385,-0.923126,0.458836,-0.23361,-0.855679,0.754077,-0.916086,ULCER
0.146444,-0.266667,-0.459206,-0.050216,-0.901202,0.529207,-0.318303,-0.752033,0.803191,-0.94183,ULCER
0.07113,-0.293333,-0.448126,-0.10897,-0.941156,0.454225,-0.24379,-0.830145,0.804651,-0.912399,ULCER
0.430962,-0.533333,0.152735,0.2682,-0.925793,0.732374,-0.494773,-0.698117,0.319549,-0.816032,ULCER
0.029289,-0.36,-0.184675,0.000408,-0.842401,0.669331,-0.364353,-0.516574,-0.059044,-0.853135,ULCER
-0.079498,-0.32,-0.517372,-0.165417,-0.984962,-0.022213,-0.203595,-0.896224,0.883909,-0.860912,ULCER
0.046025,-0.293333,-0.46959,-0.148178,-0.932458,0.476436,-0.216419,-0.801117,0.823353,-0.972276,ULCER
0.188285,-0.28,-0.393917,0.051978,-0.91724,0.603968,-0.365281,-0.615864,0.886167,-0.921477,ULCER
0.154812,-0.24,-0.496251,-0.11375,-0.95785,0.358358,-0.210234,-0.832086,0.867702,-0.921105,ULCER
0.179916,-0.36,-0.199154,0.067399,-0.923965,0.741117,-0.548195,-0.396536,0.536697,-0.903204,ULCER
0.138075,-0.28,-0.483906,-0.167132,-0.964017,0.336169,-0.292211,-0.87621,0.835013,-0.959222,ULCER
0.439331,-0.64,0.163207,0.325219,-0.951161,0.739621,-0.47453,-0.656926,0.495186,-0.910349,ULCER
0.087866,-0.306667,-0.431495,-0.122742,-0.928778,0.540739,-0.398253,-0.875736,0.875066,-0.959751,ULCER
0.364017,-0.493333,0.149893,0.294733,-0.956687,0.683148,-0.516296,-0.784727,0.399924,-0.86322,ULCER
0.263598,-0.32,-0.313918,0.007835,-0.933379,0.574985,-0.448786,-0.741595,0.861379,-0.944769,ULCER
0.121339,-0.36,-0.233752,0.050523,-0.892812,0.740054,-0.621108,-0.58537,0.566075,-0.92422,ULCER
0.138075,-0.293333,-0.424416,-0.007174,-0.964582,0.399983,-0.260813,-0.850288,0.806529,-0.901623,ULCER
0.196653,-0.32,-0.391727,0.016447,-0.972286,0.285569,-0.295738,-0.873364,0.845914,-0.952679,ULCER
0.062762,-0.28,-0.49545,-0.188361,-0.942944,0.375362,-0.31677,-0.893248,0.82816,-0.955377,ULCER
0.372385,-0.506667,0.154987,0.292491,-0.979873,0.655827,-0.505964,-0.852876,0.647137,-0.907159,ULCER
0.012552,-0.306667,-0.491465,-0.180576,-0.96894,0.233081,-0.311237,-0.919947,0.858896,-0.957916,ULCER
0.046025,-0.293333,-0.454475,-0.121415,-0.972364,0.32202,-0.343555,-0.921025,0.833769,-0.956336,ULCER
0.196653,-0.586667,0.138537,0.322904,-0.987185,0.656828,-0.585284,-0.90347,0.471943,-0.897554,ULCER
-0.029289,-0.32,-0.470359,-0.138588,-0.949248,0.377083,-0.274118,-0.888029,0.847121,-0.93088,ULCER
0.087866,-0.293333,-0.481035,-0.164666,-0.968675,0.209977,-0.203089,-0.900882,0.820101,-0.936115,ULCER
0.121339,-0.36,-0.166358,0.133077,-0.932007,0.55927,-0.195141,-0.538959,0.576975,-0.887954,ULCER
0.062762,-0.306667,-0.447457,-0.142087,-0.90433,0.585956,-0.472883,-0.834631,0.912439,-0.959012,ULCER
0.037657,-0.293333,-0.501872,-0.18734,-0.963232,0.2458,-0.34195,-0.925554,0.799954,-0.971146,ULCER
0.07113,-0.346667,-0.33052,0.004955,-0.892677,0.372522,0.201054,-0.735858,0.798062,-0.875185,ULCER
0.154812,-0.32,-0.418905,-0.080693,-0.914974,0.486363,-0.126821,-0.880222,0.708979,-0.895572,ULCER
0.112971,-0.346667,-0.177146,0.051308,-0.856209,0.694961,-0.644414,-0.696047,0.446337,-0.852559,ULCER
0.037657,-0.32,-0.450803,-0.154895,-0.980628,0.200475,-0.300005,-0.92275,1,-0.923166,ULCER
0.020921,-0.333333,-0.419405,-0.100396,-0.922509,0.541619,-0.466879,-0.842265,0.740497,-0.889489,ULCER
-0.079498,-0.32,-0.522008,-0.199014,-0.968605,0.121048,-0.203006,-0.92702,0.789061,-0.925592,ULCER
0.079498,-0.333333,-0.334868,-0.026913,-0.795086,0.660373,-0.515763,-0.622506,0.842195,-0.859267,ULCER
-0.020921,-0.253333,-0.57293,-0.263638,-0.909688,0.341126,-0.154288,-0.8455,0.804512,-0.955427,ULCER
