@relation 'ulcer_classification-weka.filters.unsupervised.attribute.Remove-R1-14,16-24,26,28-37,40-46,48-76,78-88,90-131,133-185'

@attribute color_bgr_r_intensity1 numeric
@attribute color_lab_l_mean numeric
@attribute color_lab_b_mean numeric
@attribute color_lab_a_intensity1 numeric
@attribute color_lab_b_intensity1 numeric
@attribute color_lab_a_frequency2 numeric
@attribute color_norm_g_variance numeric
@attribute color_norm_g_intensity2 numeric
@attribute haralick_bgr_bg_contrast numeric
@attribute wavelet_bgr_r_3_hl_energy numeric
@attribute classification {ULCER,NON_ULCER}

@data
-0.008197,-0.370518,0.600076,-0.185714,-0.293333,-0.260163,-0.925789,-0.094737,-0.943935,-0.896267,ULCER
-0.204918,-0.510254,0.508864,-0.271429,-0.346667,-0.504065,-0.94137,-0.157895,-0.85795,-0.834993,ULCER
0.02459,-0.434906,0.629106,-0.185714,-0.293333,-0.373984,-0.969756,-0.263158,-0.982917,-0.930844,ULCER
0.131148,-0.317849,0.675083,-0.171429,-0.266667,0.02439,-0.949522,-0.115789,-0.852987,-0.912207,ULCER
0.139344,-0.290107,0.640025,-0.171429,-0.373333,-0.479675,-0.90448,-0.010526,-0.848486,-0.962524,ULCER
0.303279,-0.117157,0.10345,-0.242857,-0.56,-0.772358,-0.965056,0.157895,-0.783183,-0.860086,ULCER
0.45082,0.120018,-0.188592,-0.4,-0.653333,-0.382114,-0.984291,0.368421,-0.854902,-0.873099,ULCER
0.319672,-0.071783,0.015262,-0.342857,-0.626667,-0.780488,-0.961708,0.263158,-0.8572,-0.885446,ULCER
0.172131,-0.26841,0.511108,-0.2,-0.306667,-0.569106,-0.908928,0.094737,-0.861283,-0.922673,ULCER
0.098361,-0.316803,0.626448,-0.185714,-0.293333,-0.422764,-0.916608,-0.115789,-0.898479,-0.941002,ULCER
0.098361,-0.299973,0.719199,-0.171429,-0.253333,-0.398374,-0.895473,-0.010526,-0.745933,-0.904832,ULCER
0.360656,0.039517,-0.120299,-0.385714,-0.6,-0.268293,-0.991758,0.305263,-0.930481,-0.917415,ULCER
0.114754,-0.242609,0.553224,-0.214286,-0.28,-0.609756,-0.836095,0.136842,-0.037631,-0.897772,ULCER
0.213115,-0.070128,-0.029077,-0.342857,-0.573333,-0.878049,-0.992954,0.221053,-0.979246,-0.966963,ULCER
0.131148,-0.281672,0.492383,-0.242857,-0.333333,-0.406504,-0.973402,0.052632,-0.860815,-0.933421,ULCER
0.098361,-0.282157,0.545196,-0.2,-0.44,-0.520325,-0.905627,0.284211,-0.841919,-0.90085,ULCER
0.106557,-0.282332,0.441243,-0.2,-0.32,-0.756098,-0.878992,0.136842,-0.490721,-0.936732,ULCER
0.016393,-0.371142,0.588024,-0.414286,-0.466667,-0.268293,-0.872121,0.368421,-0.721509,-0.908591,ULCER
0.07377,-0.418916,0.522228,-0.228571,-0.413333,-0.219512,-0.883739,0.284211,-0.481678,-0.891392,ULCER
0.02459,-0.411533,0.629689,-0.185714,-0.293333,-0.195122,-0.944219,0.073684,-0.926588,-0.977528,ULCER
0.016393,-0.410217,0.624423,-0.2,-0.293333,-0.276423,-0.942284,-0.157895,-0.826532,-0.954449,ULCER
0.040984,-0.367716,0.526586,-0.228571,-0.346667,-0.195122,-0.957473,-0.052632,-0.964383,-0.960953,ULCER
0.131148,-0.236003,0.492438,-0.214286,-0.32,-0.536585,-0.897061,0.178947,-0.382647,-0.898835,ULCER
0.04918,-0.38572,0.54823,-0.3,-0.306667,-0.577236,-0.807596,-0.115789,-0.873086,-0.908705,ULCER
0,-0.390652,0.562142,-0.214286,-0.426667,-0.325203,-0.935846,0.094737,-0.879038,-0.90972,ULCER
0.008197,-0.407213,0.584911,-0.2,-0.306667,-0.308943,-0.96892,-0.178947,-0.941087,-0.938904,ULCER
0.04918,-0.38782,0.596903,-0.2,-0.306667,-0.333333,-0.875244,-0.242105,-0.741269,-0.87995,ULCER
0.016393,-0.336924,0.497253,-0.228571,-0.373333,-0.373984,-0.922018,0.073684,-0.874671,-0.896626,ULCER
-0.163934,-0.479931,0.56252,-0.228571,-0.32,-0.219512,-0.970052,-0.221053,-0.974589,-0.92264,ULCER
-0.081967,-0.459878,0.662765,-0.185714,-0.28,-0.121951,-0.911245,0.031579,-0.911527,-0.943753,ULCER
0.016393,-0.418204,0.525649,-0.228571,-0.346667,-0.268293,-0.95121,-0.263158,-0.949886,-0.855114,ULCER
-0.032787,-0.421344,0.574299,-0.228571,-0.426667,-0.211382,-0.964795,0.094737,-0.946796,-0.898518,ULCER
-0.057377,-0.461214,0.63115,-0.214286,-0.293333,-0.065041,-0.973925,-0.263158,-0.984981,-0.908355,ULCER
-0.032787,-0.487557,0.524256,-0.242857,-0.333333,-0.414634,-0.934903,-0.136842,-0.950039,-0.930589,ULCER
-0.213115,-0.571015,0.436904,-0.314286,-0.36,-0.260163,-0.931151,-0.157895,-0.970305,-0.844943,ULCER
-0.114754,-0.521382,0.482798,-0.342857,-0.36,-0.585366,-0.880044,0.052632,-0.926986,-0.963865,ULCER
0.081967,-0.351166,0.566596,-0.328571,-0.306667,-0.414634,-0.952808,-0.052632,-0.915249,-0.842363,ULCER
-0.008197,-0.419207,0.561806,-0.371429,-0.293333,-0.560976,-0.943001,0.094737,-0.810042,-0.892746,ULCER
0.008197,-0.421045,0.581167,-0.214286,-0.306667,-0.252033,-0.942311,-0.2,-0.928577,-0.900957,ULCER
0.172131,-0.166773,0.532878,-0.228571,-0.32,-0.829268,-0.858275,0.157895,-0.613166,-0.899982,ULCER
-0.204918,-0.521437,0.432484,-0.285714,-0.413333,-0.577236,-0.919902,-0.115789,-0.899163,-0.88313,ULCER
-0.229508,-0.590737,0.437366,-0.328571,-0.36,-0.853659,-0.942236,-0.178947,-0.98124,-0.966993,ULCER
-0.459016,-0.712557,0.242092,-0.4,-0.506667,-0.658537,-0.703708,-0.284211,-0.89194,-0.76983,ULCER
0.02459,-0.404236,0.491085,-0.242857,-0.36,-0.089431,-0.941255,0.221053,-0.890699,-0.939807,ULCER
-0.07377,-0.375183,0.427331,-0.442857,-0.373333,-0.162602,-0.902825,0.347368,-0.787797,-0.907837,ULCER
-0.467213,-0.697173,0.31352,-0.357143,-0.44,-0.780488,-0.767521,-0.431579,-0.948326,-0.975731,ULCER
-0.032787,-0.434755,0.663464,-0.2,-0.266667,-0.382114,-0.961172,-0.263158,-0.982301,-0.893324,ULCER
