@relation 'ulcer_classification-weka.filters.unsupervised.attribute.Remove-R2-24,26-31,33-48,50-72,74,76-77,79-101,103-115,117-127,129-137,139-146,148,150-166,168,170,172-174,176-185'

@attribute color_bgr_b_mean numeric
@attribute color_lab_l_mean numeric
@attribute color_lab_a_centroid numeric
@attribute color_luv_l_mean numeric
@attribute color_norm_b_mean numeric
@attribute color_norm_r_mean numeric
@attribute color_norm_r_variance numeric
@attribute haralick_bgr_g_contrast numeric
@attribute haralick_lab_a_correlation numeric
@attribute haralick_luv_v_energy numeric
@attribute haralick_bgr_br_energy numeric
@attribute haralick_lab_ab_contrast numeric
@attribute haralick_lab_ab_entropy numeric
@attribute lbph_bgr_r_entropy numeric
@attribute wavelet_bgr_b_3_lh_entropy numeric
@attribute wavelet_bgr_b_3_hl_entropy numeric
@attribute wavelet_bgr_g_3_lh_entropy numeric
@attribute wavelet_bgr_r_3_hl_energy numeric
@attribute classification {ULCER,NON_ULCER}

@data
-0.846374,-0.465568,0.75,-0.466859,-0.594347,0.383701,-0.987844,-0.997715,-0.952379,-0.683377,-0.817705,-0.949505,0.910981,0.587325,0.220398,0.220461,0.220335,-0.917993,ULCER
-0.808972,-0.510487,0.53125,-0.511759,-0.465687,0.238906,-0.961527,-0.988837,-0.950009,-0.794256,-0.899214,-0.90711,0.929772,0.570939,0.23703,0.237093,0.236966,-0.883979,ULCER
-0.741413,-0.463063,0.53125,-0.463821,-0.365462,0.131306,-0.865128,-0.958015,-0.963319,-0.86074,-0.926909,-0.896287,0.951851,0.575214,0.177174,0.177235,0.177114,-0.968576,ULCER
-0.732505,-0.454549,0.5,-0.455788,-0.359419,0.117946,-0.844491,-0.905042,-0.958388,-0.808119,-0.918537,-0.821101,0.955398,0.60644,0.202786,0.202848,0.202724,-0.912634,ULCER
-0.84796,-0.582802,0.53125,-0.584533,-0.511763,0.304202,-0.88965,-0.972367,-0.956592,-0.848991,-0.916595,-0.805942,0.954952,0.40572,0.211203,0.211266,0.211141,-0.937335,ULCER
-0.838814,-0.539471,0.59375,-0.540246,-0.524293,0.314938,-0.926346,-0.979068,-0.960214,-0.773513,-0.915097,-0.908902,0.941072,0.520409,0.19081,0.190871,0.190749,-0.945366,ULCER
-0.88698,-0.687752,0.40625,-0.689665,-0.53221,0.33331,-0.813183,-0.942064,-0.920211,-0.795113,-0.880902,-0.595004,0.92245,0.525691,0.338519,0.338587,0.33845,-0.788239,ULCER
-0.736092,-0.368724,0.71875,-0.369803,-0.428189,0.192242,-0.959033,-0.915685,-0.939587,-0.737524,-0.894454,-0.823,0.92502,0.686555,0.267749,0.267814,0.267684,-0.775287,ULCER
-0.638626,-0.249756,0.78125,-0.25054,-0.363298,0.106034,-0.88088,-0.850364,-0.940127,-0.678861,-0.92492,-0.810923,0.925177,0.735845,0.265162,0.265227,0.265098,-0.864003,ULCER
-0.778714,-0.427457,0.6875,-0.428727,-0.466473,0.232311,-0.961841,-0.929847,-0.924707,-0.621594,-0.850278,-0.693306,0.909042,0.884663,0.31381,0.313877,0.313743,-0.942188,ULCER
