img;method;execution_time;amount_superpixels;tp;tn;fp;fn;sensitivity;specifictity;precision;accuracy;iou;mean;max ;min
105;GRAB;10.368;200;24.670.000;45.915.000;610.000;805.000;0.968;0,987;0,976;0,98;0,946;;;
114;GRAB;10.241;200;23.030.000;45.869.000;182.000;2.919.000;0.888;0,996;0,992;0,957;0,881;;;
14;GRAB;10.478;200;38.019.000;32.621.000;481.000;879.000;0.977;0,985;0,988;0,981;0,965;;;
15;GRAB;10.748;200;20.821.000;48.916.000;1.675.000;588.000;0.973;0,967;0,926;0,969;0,902;;;
17;GRAB;11.271;200;19.254.000;51.538.000;823.000;385.000;0.980;0,984;0,959;0,983;0,941;;;
18;GRAB;10.803;200;16.600.000;54.259.000;841.000;300.000;0.982;0,985;0,952;0,984;0,936;;;
26;GRAB;11.163;200;28.070.000;42.117.000;260.000;1.553.000;0.948;0,994;0,991;0,975;0,939;;;
29;GRAB;11.369;200;33.497.000;33.505.000;3.914.000;1.084.000;0.969;0,895;0,895;0,931;0,87;;;
31;GRAB;11.812;200;21.857.000;49.374.000;158.000;611.000;0.973;0,997;0,993;0,989;0,966;;;
33;GRAB;11.920;200;28.742.000;41.760.000;185.000;1.313.000;0.956;0,996;0,994;0,979;0,95;;;
39;GRAB;11.828;200;26.535.000;43.420.000;293.000;1.752.000;0.938;0,993;0,989;0,972;0,928;;;
43;GRAB;19.603;200;23.811.000;46.828.000;546.000;815.000;0.967;0,988;0,978;0,981;0,946;;;
47;GRAB;9.037;200;25.098.000;45.658.000;191.000;1.053.000;0.960;0,996;0,992;0,983;0,953;;;
49;GRAB;9.306;200;18.256.000;45.243.000;0.000;8.501.000;0.682;1.000;1.000;0,882;0,682;;;
63;GRAB;9.211;200;8.166.000;59.628.000;9.000;4.197.000;0.661;1.000;0,999;0,942;0,66;;;
81;GRAB;9.933;200;17.227.000;52.662.000;997.000;1.114.000;0.939;0,981;0,945;0,971;0,891;;;
9;GRAB;9.959;200;23.288.000;46.979.000;880.000;853.000;0.965;0,982;0,964;0,976;0,931;;;
90;GRAB;10.558;200;35.245.000;34.559.000;27.000;2.169.000;0.942;0,999;0,999;0,97;0,941;;;
91;GRAB;10.716;200;29.037.000;41.348.000;285.000;1.330.000;0.956;0,993;0,99;0,978;0,947;;;
98;GRAB;10.663;200;33.241.000;35.612.000;66.000;3.081.000;0.915;0,998;0,998;0,956;0,914;;;
99;GRAB;10.628;200;26.175.000;42.610.000;387.000;2.828.000;0.902;0,991;0,985;0,955;0,891;;;
