img;method;execution_time;amount_superpixels;tp;tn;fp;fn;sensitivity;specifictity;precision;accuracy;iou
105;SVM;10.058;200;22852.000;40894.000;5631.000;2623.000;0.897;0.879;0.802;0.885;0.735
114;SVM;9.894;200;19371.000;39369.000;6682.000;6578.000;0.747;0.855;0.744;0.816;0.594
14;SVM;10.169;200;38168.000;32020.000;1082.000;730.000;0.981;0.967;0.972;0.975;0.955
15;SVM;10.433;200;21011.000;38066.000;12525.000;398.000;0.981;0.752;0.627;0.821;0.619
17;SVM;10.834;200;18446.000;49984.000;2377.000;1193.000;0.939;0.955;0.886;0.950;0.838
18;SVM;10.512;200;16839.000;44427.000;10673.000;61.000;0.996;0.806;0.612;0.851;0.611
26;SVM;10.614;200;29244.000;32212.000;10165.000;379.000;0.987;0.760;0.742;0.854;0.735
29;SVM;10.899;200;34203.000;26710.000;10709.000;378.000;0.989;0.714;0.762;0.846;0.755
31;SVM;11.523;200;20080.000;47274.000;2258.000;2388.000;0.894;0.954;0.899;0.935;0.812
33;SVM;11.425;200;28802.000;38404.000;3541.000;1253.000;0.958;0.916;0.891;0.933;0.857
39;SVM;11.388;200;25644.000;39915.000;3798.000;2643.000;0.907;0.913;0.871;0.911;0.799
43;SVM;18.665;200;24095.000;34591.000;12783.000;531.000;0.978;0.730;0.653;0.815;0.644
47;SVM;8.744;200;24219.000;39633.000;6216.000;1932.000;0.926;0.864;0.796;0.887;0.748
49;SVM;9.017;200;21109.000;39686.000;5557.000;5648.000;0.789;0.877;0.792;0.844;0.653
63;SVM;8.998;200;7931.000;57274.000;2363.000;4432.000;0.642;0.960;0.770;0.906;0.539
81;SVM;9.663;200;17994.000;47778.000;5881.000;347.000;0.981;0.890;0.754;0.914;0.743
9;SVM;9.680;200;23989.000;34804.000;13055.000;152.000;0.994;0.727;0.648;0.817;0.645
90;SVM;10.233;200;31219.000;32124.000;2462.000;6195.000;0.834;0.929;0.927;0.880;0.783
91;SVM;10.278;200;29122.000;33830.000;7803.000;1245.000;0.959;0.813;0.789;0.874;0.763
98;SVM;10.213;200;34579.000;28164.000;7514.000;1743.000;0.952;0.789;0.821;0.871;0.789
99;SVM;10.302;200;25974.000;35923.000;7074.000;3029.000;0.896;0.835;0.786;0.860;0.720
