******************************************
******* Method: SVM ****************
******************************************
IMAGE_NAME  SUPERPIXELS  EXECUTION_TIME  TRUE_POSITIVES  TRUE_NEGATIVES  FALSE_POSITIVES  FALSE_NEGATIVES  SENSITIVITY  SPECIFICITY  PRECISION  ACCURACY  INTERSECTION_UNION  
105         200          10.058          22852.000       40894.000       5631.000         2623.000         0.897        0.879        0.802      0.885     0.735               
114         200          9.894           19371.000       39369.000       6682.000         6578.000         0.747        0.855        0.744      0.816     0.594               
14          200          10.169          38168.000       32020.000       1082.000         730.000          0.981        0.967        0.972      0.975     0.955               
15          200          10.433          21011.000       38066.000       12525.000        398.000          0.981        0.752        0.627      0.821     0.619               
17          200          10.834          18446.000       49984.000       2377.000         1193.000         0.939        0.955        0.886      0.950     0.838               
18          200          10.512          16839.000       44427.000       10673.000        61.000           0.996        0.806        0.612      0.851     0.611               
26          200          10.614          29244.000       32212.000       10165.000        379.000          0.987        0.760        0.742      0.854     0.735               
29          200          10.899          34203.000       26710.000       10709.000        378.000          0.989        0.714        0.762      0.846     0.755               
31          200          11.523          20080.000       47274.000       2258.000         2388.000         0.894        0.954        0.899      0.935     0.812               
33          200          11.425          28802.000       38404.000       3541.000         1253.000         0.958        0.916        0.891      0.933     0.857               
39          200          11.388          25644.000       39915.000       3798.000         2643.000         0.907        0.913        0.871      0.911     0.799               
43          200          18.665          24095.000       34591.000       12783.000        531.000          0.978        0.730        0.653      0.815     0.644               
47          200          8.744           24219.000       39633.000       6216.000         1932.000         0.926        0.864        0.796      0.887     0.748               
49          200          9.017           21109.000       39686.000       5557.000         5648.000         0.789        0.877        0.792      0.844     0.653               
63          200          8.998           7931.000        57274.000       2363.000         4432.000         0.642        0.960        0.770      0.906     0.539               
81          200          9.663           17994.000       47778.000       5881.000         347.000          0.981        0.890        0.754      0.914     0.743               
9           200          9.680           23989.000       34804.000       13055.000        152.000          0.994        0.727        0.648      0.817     0.645               
90          200          10.233          31219.000       32124.000       2462.000         6195.000         0.834        0.929        0.927      0.880     0.783               
91          200          10.278          29122.000       33830.000       7803.000         1245.000         0.959        0.813        0.789      0.874     0.763               
98          200          10.213          34579.000       28164.000       7514.000         1743.000         0.952        0.789        0.821      0.871     0.789               
99          200          10.302          25974.000       35923.000       7074.000         3029.000         0.896        0.835        0.786      0.860     0.720               
            
MEAN:       200.000      10.645          24518.619       38718.190       6673.762         2089.429         0.916        0.852        0.788      0.878     0.730               
STD:        0.000        1.940           6826.001        7297.508        3688.428         1987.756         0.091        0.081        0.096      0.045     0.098               



******************************************
******* Method: GRAB ****************
******************************************
IMAGE_NAME  SUPERPIXELS  EXECUTION_TIME  TRUE_POSITIVES  TRUE_NEGATIVES  FALSE_POSITIVES  FALSE_NEGATIVES  SENSITIVITY  SPECIFICITY  PRECISION  ACCURACY  INTERSECTION_UNION  
105         200          10.368          24670.000       45915.000       610.000          805.000          0.968        0.987        0.976      0.980     0.946               
114         200          10.241          23030.000       45869.000       182.000          2919.000         0.888        0.996        0.992      0.957     0.881               
14          200          10.478          38019.000       32621.000       481.000          879.000          0.977        0.985        0.988      0.981     0.965               
15          200          10.748          20821.000       48916.000       1675.000         588.000          0.973        0.967        0.926      0.969     0.902               
17          200          11.271          19254.000       51538.000       823.000          385.000          0.980        0.984        0.959      0.983     0.941               
18          200          10.803          16600.000       54259.000       841.000          300.000          0.982        0.985        0.952      0.984     0.936               
26          200          11.163          28070.000       42117.000       260.000          1553.000         0.948        0.994        0.991      0.975     0.939               
29          200          11.369          33497.000       33505.000       3914.000         1084.000         0.969        0.895        0.895      0.931     0.870               
31          200          11.812          21857.000       49374.000       158.000          611.000          0.973        0.997        0.993      0.989     0.966               
33          200          11.920          28742.000       41760.000       185.000          1313.000         0.956        0.996        0.994      0.979     0.950               
39          200          11.828          26535.000       43420.000       293.000          1752.000         0.938        0.993        0.989      0.972     0.928               
43          200          19.603          23811.000       46828.000       546.000          815.000          0.967        0.988        0.978      0.981     0.946               
47          200          9.037           25098.000       45658.000       191.000          1053.000         0.960        0.996        0.992      0.983     0.953               
49          200          9.306           18256.000       45243.000       0.000            8501.000         0.682        1.000        1.000      0.882     0.682               
63          200          9.211           8166.000        59628.000       9.000            4197.000         0.661        1.000        0.999      0.942     0.660               
81          200          9.933           17227.000       52662.000       997.000          1114.000         0.939        0.981        0.945      0.971     0.891               
9           200          9.959           23288.000       46979.000       880.000          853.000          0.965        0.982        0.964      0.976     0.931               
90          200          10.558          35245.000       34559.000       27.000           2169.000         0.942        0.999        0.999      0.970     0.941               
91          200          10.716          29037.000       41348.000       285.000          1330.000         0.956        0.993        0.990      0.978     0.947               
98          200          10.663          33241.000       35612.000       66.000           3081.000         0.915        0.998        0.998      0.956     0.914               
99          200          10.628          26175.000       42610.000       387.000          2828.000         0.902        0.991        0.985      0.955     0.891               
            
MEAN:       200.000      11.029          24792.333       44781.952       610.000          1815.714         0.926        0.986        0.976      0.966     0.904               
STD:        0.000        2.075           6851.038        6785.309        841.878          1794.605         0.086        0.022        0.027      0.024     0.080               

