img;method;execution_time;amount_superpixels;tp;tn;fp;fn;sensitivity;specifictity;precision;accuracy;iou
105;GRAB;10.427;200;19399.000;46525.000;0.000;6076.000;0.761;1.000;1.000;0.916;0.761
114;GRAB;8.350;225;9593.000;46051.000;0.000;16356.000;0.370;1.000;1.000;0.773;0.370
14;GRAB;8.914;200;36085.000;32625.000;477.000;2813.000;0.928;0.986;0.987;0.954;0.916
15;GRAB;8.831;200;15710.000;49173.000;1418.000;5699.000;0.734;0.972;0.917;0.901;0.688
17;GRAB;8.681;200;19033.000;51943.000;418.000;606.000;0.969;0.992;0.979;0.986;0.949
18;GRAB;8.922;200;16485.000;54566.000;534.000;415.000;0.975;0.990;0.969;0.987;0.946
26;GRAB;8.792;200;25269.000;39688.000;2689.000;4354.000;0.853;0.937;0.904;0.902;0.782
29;GRAB;9.751;200;31142.000;36810.000;609.000;3439.000;0.901;0.984;0.981;0.944;0.885
31;GRAB;8.685;200;20876.000;49442.000;90.000;1592.000;0.929;0.998;0.996;0.977;0.925
33;GRAB;9.239;200;28551.000;41741.000;204.000;1504.000;0.950;0.995;0.993;0.976;0.944
39;GRAB;9.390;200;26570.000;41936.000;1777.000;1717.000;0.939;0.959;0.937;0.951;0.884
43;GRAB;9.774;200;18917.000;47264.000;110.000;5709.000;0.768;0.998;0.994;0.919;0.765
47;GRAB;15.857;200;20552.000;45709.000;140.000;5599.000;0.786;0.997;0.993;0.920;0.782
49;GRAB;12.388;200;22759.000;45020.000;223.000;3998.000;0.851;0.995;0.990;0.941;0.844
63;GRAB;13.064;200;6479.000;59637.000;0.000;5884.000;0.524;1.000;1.000;0.918;0.524
81;GRAB;11.568;200;16969.000;53447.000;212.000;1372.000;0.925;0.996;0.988;0.978;0.915
9;GRAB;11.581;200;23475.000;45578.000;2281.000;666.000;0.972;0.952;0.911;0.959;0.888
90;GRAB;11.253;200;35269.000;34556.000;30.000;2145.000;0.943;0.999;0.999;0.970;0.942
91;GRAB;12.760;225;21942.000;39375.000;2258.000;8425.000;0.723;0.946;0.907;0.852;0.673
98;GRAB;10.424;200;33396.000;35351.000;327.000;2926.000;0.919;0.991;0.990;0.955;0.911
99;GRAB;12.740;225;16227.000;42941.000;56.000;12776.000;0.559;0.999;0.997;0.822;0.558
