img;method;execution_time;amount_superpixels;tp;tn;fp;fn;sensitivity;specifictity;precision;accuracy;iou
105;SVM;9.912;200;22340.000;41786.000;4739.000;3135.000;0.877;0.898;0.825;0.891;0.739
114;SVM;8.120;225;12567.000;41135.000;4916.000;13382.000;0.484;0.893;0.719;0.746;0.407
14;SVM;8.568;200;36344.000;32037.000;1065.000;2554.000;0.934;0.968;0.972;0.950;0.909
15;SVM;8.523;200;17309.000;41596.000;8995.000;4100.000;0.808;0.822;0.658;0.818;0.569
17;SVM;8.315;200;17306.000;50050.000;2311.000;2333.000;0.881;0.956;0.882;0.936;0.788
18;SVM;8.653;200;12647.000;49401.000;5699.000;4253.000;0.748;0.897;0.689;0.862;0.560
26;SVM;8.419;200;23428.000;35584.000;6793.000;6195.000;0.791;0.840;0.775;0.820;0.643
29;SVM;9.282;200;32753.000;29816.000;7603.000;1828.000;0.947;0.797;0.812;0.869;0.776
31;SVM;8.416;200;18968.000;48473.000;1059.000;3500.000;0.844;0.979;0.947;0.937;0.806
33;SVM;8.942;200;26772.000;38702.000;3243.000;3283.000;0.891;0.923;0.892;0.909;0.804
39;SVM;9.035;200;25543.000;35363.000;8350.000;2744.000;0.903;0.809;0.754;0.846;0.697
43;SVM;9.351;200;21434.000;43610.000;3764.000;3192.000;0.870;0.921;0.851;0.903;0.755
47;SVM;15.475;200;19579.000;41940.000;3909.000;6572.000;0.749;0.915;0.834;0.854;0.651
49;SVM;11.832;200;21070.000;38466.000;6777.000;5687.000;0.787;0.850;0.757;0.827;0.628
63;SVM;12.313;200;4945.000;58685.000;952.000;7418.000;0.400;0.984;0.839;0.884;0.371
81;SVM;11.238;200;16165.000;49882.000;3777.000;2176.000;0.881;0.930;0.811;0.917;0.731
9;SVM;11.173;200;22080.000;31593.000;16266.000;2061.000;0.915;0.660;0.576;0.745;0.546
90;SVM;10.624;200;27369.000;33409.000;1177.000;10045.000;0.732;0.966;0.959;0.844;0.709
91;SVM;12.390;225;23432.000;33631.000;8002.000;6935.000;0.772;0.808;0.745;0.793;0.611
98;SVM;10.045;200;33915.000;31110.000;4568.000;2407.000;0.934;0.872;0.881;0.903;0.829
99;SVM;12.470;225;16635.000;35470.000;7527.000;12368.000;0.574;0.825;0.688;0.724;0.455
