******************************************
******* Method: SVM ****************
******************************************
IMAGE_NAME  SUPERPIXELS  EXECUTION_TIME  TRUE_POSITIVES  TRUE_NEGATIVES  FALSE_POSITIVES  FALSE_NEGATIVES  SENSITIVITY  SPECIFICITY  PRECISION  ACCURACY  INTERSECTION_UNION  
105         200          9.912           22340.000       41786.000       4739.000         3135.000         0.877        0.898        0.825      0.891     0.739               
114         225          8.120           12567.000       41135.000       4916.000         13382.000        0.484        0.893        0.719      0.746     0.407               
14          200          8.568           36344.000       32037.000       1065.000         2554.000         0.934        0.968        0.972      0.950     0.909               
15          200          8.523           17309.000       41596.000       8995.000         4100.000         0.808        0.822        0.658      0.818     0.569               
17          200          8.315           17306.000       50050.000       2311.000         2333.000         0.881        0.956        0.882      0.936     0.788               
18          200          8.653           12647.000       49401.000       5699.000         4253.000         0.748        0.897        0.689      0.862     0.560               
26          200          8.419           23428.000       35584.000       6793.000         6195.000         0.791        0.840        0.775      0.820     0.643               
29          200          9.282           32753.000       29816.000       7603.000         1828.000         0.947        0.797        0.812      0.869     0.776               
31          200          8.416           18968.000       48473.000       1059.000         3500.000         0.844        0.979        0.947      0.937     0.806               
33          200          8.942           26772.000       38702.000       3243.000         3283.000         0.891        0.923        0.892      0.909     0.804               
39          200          9.035           25543.000       35363.000       8350.000         2744.000         0.903        0.809        0.754      0.846     0.697               
43          200          9.351           21434.000       43610.000       3764.000         3192.000         0.870        0.921        0.851      0.903     0.755               
47          200          15.475          19579.000       41940.000       3909.000         6572.000         0.749        0.915        0.834      0.854     0.651               
49          200          11.832          21070.000       38466.000       6777.000         5687.000         0.787        0.850        0.757      0.827     0.628               
63          200          12.313          4945.000        58685.000       952.000          7418.000         0.400        0.984        0.839      0.884     0.371               
81          200          11.238          16165.000       49882.000       3777.000         2176.000         0.881        0.930        0.811      0.917     0.731               
9           200          11.173          22080.000       31593.000       16266.000        2061.000         0.915        0.660        0.576      0.745     0.546               
90          200          10.624          27369.000       33409.000       1177.000         10045.000        0.732        0.966        0.959      0.844     0.709               
91          225          12.390          23432.000       33631.000       8002.000         6935.000         0.772        0.808        0.745      0.793     0.611               
98          200          10.045          33915.000       31110.000       4568.000         2407.000         0.934        0.872        0.881      0.903     0.829               
99          225          12.470          16635.000       35470.000       7527.000         12368.000        0.574        0.825        0.688      0.724     0.455               
            
MEAN:       203.571      10.147          21552.429       40082.810       5309.143         5055.619         0.796        0.881        0.803      0.856     0.666               
STD:        8.748        1.874           7296.258        7553.092        3504.714         3300.729         0.144        0.077        0.101      0.063     0.140               



******************************************
******* Method: GRAB ****************
******************************************
IMAGE_NAME  SUPERPIXELS  EXECUTION_TIME  TRUE_POSITIVES  TRUE_NEGATIVES  FALSE_POSITIVES  FALSE_NEGATIVES  SENSITIVITY  SPECIFICITY  PRECISION  ACCURACY  INTERSECTION_UNION  
105         200          10.427          19399.000       46525.000       0.000            6076.000         0.761        1.000        1.000      0.916     0.761               
114         225          8.350           9593.000        46051.000       0.000            16356.000        0.370        1.000        1.000      0.773     0.370               
14          200          8.914           36085.000       32625.000       477.000          2813.000         0.928        0.986        0.987      0.954     0.916               
15          200          8.831           15710.000       49173.000       1418.000         5699.000         0.734        0.972        0.917      0.901     0.688               
17          200          8.681           19033.000       51943.000       418.000          606.000          0.969        0.992        0.979      0.986     0.949               
18          200          8.922           16485.000       54566.000       534.000          415.000          0.975        0.990        0.969      0.987     0.946               
26          200          8.792           25269.000       39688.000       2689.000         4354.000         0.853        0.937        0.904      0.902     0.782               
29          200          9.751           31142.000       36810.000       609.000          3439.000         0.901        0.984        0.981      0.944     0.885               
31          200          8.685           20876.000       49442.000       90.000           1592.000         0.929        0.998        0.996      0.977     0.925               
33          200          9.239           28551.000       41741.000       204.000          1504.000         0.950        0.995        0.993      0.976     0.944               
39          200          9.390           26570.000       41936.000       1777.000         1717.000         0.939        0.959        0.937      0.951     0.884               
43          200          9.774           18917.000       47264.000       110.000          5709.000         0.768        0.998        0.994      0.919     0.765               
47          200          15.857          20552.000       45709.000       140.000          5599.000         0.786        0.997        0.993      0.920     0.782               
49          200          12.388          22759.000       45020.000       223.000          3998.000         0.851        0.995        0.990      0.941     0.844               
63          200          13.064          6479.000        59637.000       0.000            5884.000         0.524        1.000        1.000      0.918     0.524               
81          200          11.568          16969.000       53447.000       212.000          1372.000         0.925        0.996        0.988      0.978     0.915               
9           200          11.581          23475.000       45578.000       2281.000         666.000          0.972        0.952        0.911      0.959     0.888               
90          200          11.253          35269.000       34556.000       30.000           2145.000         0.943        0.999        0.999      0.970     0.942               
91          225          12.760          21942.000       39375.000       2258.000         8425.000         0.723        0.946        0.907      0.852     0.673               
98          200          10.424          33396.000       35351.000       327.000          2926.000         0.919        0.991        0.990      0.955     0.911               
99          225          12.740          16227.000       42941.000       56.000           12776.000        0.559        0.999        0.997      0.822     0.558               
            
MEAN:       203.571      10.542          22128.476       44732.286       659.667          4479.571         0.823        0.985        0.973      0.929     0.802               
STD:        8.748        1.923           7611.645        6820.292        842.549          3944.499         0.162        0.019        0.034      0.054     0.157               

