img;method;execution_time;amount_superpixels;tp;tn;fp;fn;sensitivity;specifictity;precision;accuracy;iou
105;GRAB;16.743;208;18714.000;46379.000;146.000;6761.000;0.735;0.997;0.992;0.904;0.730
114;GRAB;16.292;208;24832.000;45488.000;563.000;1117.000;0.957;0.988;0.978;0.977;0.937
14;GRAB;16.102;208;38151.000;32569.000;533.000;747.000;0.981;0.984;0.986;0.982;0.968
15;GRAB;22.877;208;20823.000;48986.000;1605.000;586.000;0.973;0.968;0.928;0.970;0.905
17;GRAB;13.779;208;18703.000;50726.000;1635.000;936.000;0.952;0.969;0.920;0.964;0.879
18;GRAB;13.956;208;16516.000;53947.000;1153.000;384.000;0.977;0.979;0.935;0.979;0.915
26;GRAB;13.716;208;28177.000;42129.000;248.000;1446.000;0.951;0.994;0.991;0.976;0.943
29;GRAB;14.464;208;29958.000;36927.000;492.000;4623.000;0.866;0.987;0.984;0.929;0.854
31;GRAB;15.609;208;21782.000;49393.000;139.000;686.000;0.969;0.997;0.994;0.989;0.964
33;GRAB;14.815;208;28453.000;41547.000;398.000;1602.000;0.947;0.991;0.986;0.972;0.934
39;GRAB;14.684;208;26743.000;41196.000;2517.000;1544.000;0.945;0.942;0.914;0.944;0.868
43;GRAB;15.580;208;21692.000;39023.000;8351.000;2934.000;0.881;0.824;0.722;0.843;0.658
47;GRAB;15.488;208;24764.000;45671.000;178.000;1387.000;0.947;0.996;0.993;0.978;0.941
49;GRAB;14.706;208;22708.000;45020.000;223.000;4049.000;0.849;0.995;0.990;0.941;0.842
63;GRAB;15.273;208;6643.000;59315.000;322.000;5720.000;0.537;0.995;0.954;0.916;0.524
81;GRAB;14.707;208;16975.000;53488.000;171.000;1366.000;0.926;0.997;0.990;0.979;0.917
9;GRAB;14.856;208;23567.000;45026.000;2833.000;574.000;0.976;0.941;0.893;0.953;0.874
90;GRAB;15.260;208;34374.000;34557.000;29.000;3040.000;0.919;0.999;0.999;0.957;0.918
91;GRAB;15.250;208;28910.000;41345.000;288.000;1457.000;0.952;0.993;0.990;0.976;0.943
98;GRAB;16.519;208;33416.000;35274.000;404.000;2906.000;0.920;0.989;0.988;0.954;0.910
99;GRAB;16.152;208;24674.000;42196.000;801.000;4329.000;0.851;0.981;0.969;0.929;0.828
