img;method;execution_time;amount_superpixels;tp;tn;fp;fn;sensitivity;specifictity;precision;accuracy;iou
105;SVM;16.377;208;21151.000;38606.000;7919.000;4324.000;0.830;0.830;0.728;0.830;0.633
114;SVM;15.955;208;22537.000;39913.000;6138.000;3412.000;0.869;0.867;0.786;0.867;0.702
14;SVM;15.768;208;38038.000;28518.000;4584.000;860.000;0.978;0.862;0.892;0.924;0.875
15;SVM;22.413;208;19982.000;40389.000;10202.000;1427.000;0.933;0.798;0.662;0.838;0.632
17;SVM;13.544;208;17726.000;49790.000;2571.000;1913.000;0.903;0.951;0.873;0.938;0.798
18;SVM;13.718;208;15561.000;47384.000;7716.000;1339.000;0.921;0.860;0.669;0.874;0.632
26;SVM;13.360;208;27768.000;32448.000;9929.000;1855.000;0.937;0.766;0.737;0.836;0.702
29;SVM;14.027;208;32895.000;25758.000;11661.000;1686.000;0.951;0.688;0.738;0.815;0.711
31;SVM;15.194;208;20377.000;44107.000;5425.000;2091.000;0.907;0.890;0.790;0.896;0.731
33;SVM;14.507;208;29015.000;35789.000;6156.000;1040.000;0.965;0.853;0.825;0.900;0.801
39;SVM;14.308;208;26020.000;34308.000;9405.000;2267.000;0.920;0.785;0.735;0.838;0.690
43;SVM;15.076;208;22223.000;33475.000;13899.000;2403.000;0.902;0.707;0.615;0.774;0.577
47;SVM;15.215;208;22194.000;41729.000;4120.000;3957.000;0.849;0.910;0.843;0.888;0.733
49;SVM;14.411;208;22355.000;37999.000;7244.000;4402.000;0.835;0.840;0.755;0.838;0.657
63;SVM;15.068;208;7476.000;57451.000;2186.000;4887.000;0.605;0.963;0.774;0.902;0.514
81;SVM;14.447;208;17847.000;47874.000;5785.000;494.000;0.973;0.892;0.755;0.913;0.740
9;SVM;14.488;208;23727.000;26519.000;21340.000;414.000;0.983;0.554;0.526;0.698;0.522
90;SVM;14.931;208;28906.000;31070.000;3516.000;8508.000;0.773;0.898;0.892;0.833;0.706
91;SVM;14.936;208;27610.000;31029.000;10604.000;2757.000;0.909;0.745;0.723;0.814;0.674
98;SVM;15.884;208;35834.000;23240.000;12438.000;488.000;0.987;0.651;0.742;0.820;0.735
99;SVM;15.785;208;27157.000;36140.000;6857.000;1846.000;0.936;0.841;0.798;0.879;0.757
