******************************************
******* Method: SVM ****************
******************************************
IMAGE_NAME  SUPERPIXELS  EXECUTION_TIME  TRUE_POSITIVES  TRUE_NEGATIVES  FALSE_POSITIVES  FALSE_NEGATIVES  SENSITIVITY  SPECIFICITY  PRECISION  ACCURACY  INTERSECTION_UNION  
105         208          16.377          21151.000       38606.000       7919.000         4324.000         0.830        0.830        0.728      0.830     0.633               
114         208          15.955          22537.000       39913.000       6138.000         3412.000         0.869        0.867        0.786      0.867     0.702               
14          208          15.768          38038.000       28518.000       4584.000         860.000          0.978        0.862        0.892      0.924     0.875               
15          208          22.413          19982.000       40389.000       10202.000        1427.000         0.933        0.798        0.662      0.838     0.632               
17          208          13.544          17726.000       49790.000       2571.000         1913.000         0.903        0.951        0.873      0.938     0.798               
18          208          13.718          15561.000       47384.000       7716.000         1339.000         0.921        0.860        0.669      0.874     0.632               
26          208          13.360          27768.000       32448.000       9929.000         1855.000         0.937        0.766        0.737      0.836     0.702               
29          208          14.027          32895.000       25758.000       11661.000        1686.000         0.951        0.688        0.738      0.815     0.711               
31          208          15.194          20377.000       44107.000       5425.000         2091.000         0.907        0.890        0.790      0.896     0.731               
33          208          14.507          29015.000       35789.000       6156.000         1040.000         0.965        0.853        0.825      0.900     0.801               
39          208          14.308          26020.000       34308.000       9405.000         2267.000         0.920        0.785        0.735      0.838     0.690               
43          208          15.076          22223.000       33475.000       13899.000        2403.000         0.902        0.707        0.615      0.774     0.577               
47          208          15.215          22194.000       41729.000       4120.000         3957.000         0.849        0.910        0.843      0.888     0.733               
49          208          14.411          22355.000       37999.000       7244.000         4402.000         0.835        0.840        0.755      0.838     0.657               
63          208          15.068          7476.000        57451.000       2186.000         4887.000         0.605        0.963        0.774      0.902     0.514               
81          208          14.447          17847.000       47874.000       5785.000         494.000          0.973        0.892        0.755      0.913     0.740               
9           208          14.488          23727.000       26519.000       21340.000        414.000          0.983        0.554        0.526      0.698     0.522               
90          208          14.931          28906.000       31070.000       3516.000         8508.000         0.773        0.898        0.892      0.833     0.706               
91          208          14.936          27610.000       31029.000       10604.000        2757.000         0.909        0.745        0.723      0.814     0.674               
98          208          15.884          35834.000       23240.000       12438.000        488.000          0.987        0.651        0.742      0.820     0.735               
99          208          15.785          27157.000       36140.000       6857.000         1846.000         0.936        0.841        0.798      0.879     0.757               
            
MEAN:       208.000      15.210          24114.238       37311.238       8080.714         2493.810         0.898        0.817        0.755      0.853     0.692               
STD:        0.000        1.799           6819.654        8488.700        4328.841         1871.899         0.085        0.100        0.087      0.054     0.086               



******************************************
******* Method: GRAB ****************
******************************************
IMAGE_NAME  SUPERPIXELS  EXECUTION_TIME  TRUE_POSITIVES  TRUE_NEGATIVES  FALSE_POSITIVES  FALSE_NEGATIVES  SENSITIVITY  SPECIFICITY  PRECISION  ACCURACY  INTERSECTION_UNION  
105         208          16.743          18714.000       46379.000       146.000          6761.000         0.735        0.997        0.992      0.904     0.730               
114         208          16.292          24832.000       45488.000       563.000          1117.000         0.957        0.988        0.978      0.977     0.937               
14          208          16.102          38151.000       32569.000       533.000          747.000          0.981        0.984        0.986      0.982     0.968               
15          208          22.877          20823.000       48986.000       1605.000         586.000          0.973        0.968        0.928      0.970     0.905               
17          208          13.779          18703.000       50726.000       1635.000         936.000          0.952        0.969        0.920      0.964     0.879               
18          208          13.956          16516.000       53947.000       1153.000         384.000          0.977        0.979        0.935      0.979     0.915               
26          208          13.716          28177.000       42129.000       248.000          1446.000         0.951        0.994        0.991      0.976     0.943               
29          208          14.464          29958.000       36927.000       492.000          4623.000         0.866        0.987        0.984      0.929     0.854               
31          208          15.609          21782.000       49393.000       139.000          686.000          0.969        0.997        0.994      0.989     0.964               
33          208          14.815          28453.000       41547.000       398.000          1602.000         0.947        0.991        0.986      0.972     0.934               
39          208          14.684          26743.000       41196.000       2517.000         1544.000         0.945        0.942        0.914      0.944     0.868               
43          208          15.580          21692.000       39023.000       8351.000         2934.000         0.881        0.824        0.722      0.843     0.658               
47          208          15.488          24764.000       45671.000       178.000          1387.000         0.947        0.996        0.993      0.978     0.941               
49          208          14.706          22708.000       45020.000       223.000          4049.000         0.849        0.995        0.990      0.941     0.842               
63          208          15.273          6643.000        59315.000       322.000          5720.000         0.537        0.995        0.954      0.916     0.524               
81          208          14.707          16975.000       53488.000       171.000          1366.000         0.926        0.997        0.990      0.979     0.917               
9           208          14.856          23567.000       45026.000       2833.000         574.000          0.976        0.941        0.893      0.953     0.874               
90          208          15.260          34374.000       34557.000       29.000           3040.000         0.919        0.999        0.999      0.957     0.918               
91          208          15.250          28910.000       41345.000       288.000          1457.000         0.952        0.993        0.990      0.976     0.943               
98          208          16.519          33416.000       35274.000       404.000          2906.000         0.920        0.989        0.988      0.954     0.910               
99          208          16.152          24674.000       42196.000       801.000          4329.000         0.851        0.981        0.969      0.929     0.828               
            
MEAN:       208.000      15.563          24313.095       44295.333       1096.619         2294.952         0.905        0.976        0.957      0.953     0.869               
STD:        0.000        1.838           6850.209        6662.218        1794.590         1793.569         0.101        0.038        0.061      0.034     0.107               

