img;method;execution_time;amount_superpixels;tp;tn;fp;fn;sensitivity;specifictity;precision;accuracy;iou;mean ;max;min
105;GRAB;12.33;225;22648.00;42589.00;3936.00;2827.00;0,89;0,92;0,85;0,91;0,77;0,868;0,984;0,792
114;GRAB;10.13;225;24163.00;45769.00;282.00;1786.00;0,93;0,99;0,99;0,97;0,92;0,96;;
14;GRAB;10.65;225;37936.00;32662.00;440.00;962.00;0,98;0,99;0,99;0,98;0,96;0,98;;
15;GRAB;10.73;225;16516.00;49524.00;1067.00;4893.00;0,77;0,98;0,94;0,92;0,73;0,868;;
17;GRAB;10.76;225;18612.00;51664.00;697.00;1027.00;0,95;0,99;0,96;0,98;0,92;0,96;;
18;GRAB;10.66;225;16056.00;54431.00;669.00;844.00;0,95;0,99;0,96;0,98;0,91;0,958;;
26;GRAB;10.99;225;27537.00;40419.00;1958.00;2086.00;0,93;0,95;0,93;0,94;0,87;0,924;;
29;GRAB;10.74;225;30697.00;36900.00;519.00;3884.00;0,89;0,99;0,98;0,94;0,87;0,934;;
31;GRAB;11.65;225;21895.00;49375.00;157.00;573.00;0,97;1;0,99;0,99;0,97;0,984;;
33;GRAB;12.43;225;28935.00;41604.00;341.00;1120.00;0,96;0,99;0,99;0,98;0,95;0,974;;
39;GRAB;14.99;225;26909.00;41064.00;2649.00;1378.00;0,95;0,94;0,91;0,94;0,87;0,922;;
43;GRAB;13.91;225;22860.00;47012.00;362.00;1766.00;0,93;0,99;0,98;0,97;0,91;0,956;;
47;GRAB;14.25;225;24697.00;45717.00;132.00;1454.00;0,94;1;0,99;0,98;0,94;0,97;;
49;GRAB;12.72;225;16233.00;45110.00;133.00;10524.00;0,61;1;0,99;0,85;0,6;0,81;;
63;GRAB;13.45;225;6466.00;59637.00;0.00;5897.00;0,52;1;1;0,92;0,52;0,792;;
81;GRAB;14.16;225;16749.00;53495.00;164.00;1592.00;0,91;1;0,99;0,98;0,91;0,958;;
9;GRAB;14.00;225;23470.00;46031.00;1828.00;671.00;0,97;0,96;0,93;0,97;0,9;0,946;;
90;GRAB;14.61;225;33807.00;34571.00;15.00;3607.00;0,9;1;1;0,95;0,9;0,95;;
91;GRAB;14.42;225;28910.00;41388.00;245.00;1457.00;0,95;0,99;0,99;0,98;0,94;0,97;;
98;GRAB;14.72;225;33039.00;35307.00;371.00;3283.00;0,91;0,99;0,99;0,95;0,9;0,948;;
99;GRAB;15.31;225;22235.00;42586.00;411.00;6768.00;0,77;0,99;0,98;0,9;0,76;0,88;;
