img;method;execution_time;amount_superpixels;tp;tn;fp;fn;sensitivity;specifictity;precision;accuracy;iou
105;SVM;12.00;225;20619.00;37540.00;8985.00;4856.00;0.81;0.81;0.70;0.81;0.60
114;SVM;9.81;225;22530.00;40000.00;6051.00;3419.00;0.87;0.87;0.79;0.87;0.70
14;SVM;10.33;225;38118.00;30878.00;2224.00;780.00;0.98;0.93;0.94;0.96;0.93
15;SVM;10.39;225;19736.00;36674.00;13917.00;1673.00;0.92;0.72;0.59;0.78;0.56
17;SVM;10.54;225;17520.00;48689.00;3672.00;2119.00;0.89;0.93;0.83;0.92;0.75
18;SVM;10.41;225;15743.00;47883.00;7217.00;1157.00;0.93;0.87;0.69;0.88;0.65
26;SVM;10.61;225;26962.00;33567.00;8810.00;2661.00;0.91;0.79;0.75;0.84;0.70
29;SVM;10.37;225;33649.00;27873.00;9546.00;932.00;0.97;0.74;0.78;0.85;0.76
31;SVM;11.36;225;19284.00;46119.00;3413.00;3184.00;0.86;0.93;0.85;0.91;0.75
33;SVM;12.10;225;29167.00;37760.00;4185.00;888.00;0.97;0.90;0.87;0.93;0.85
39;SVM;14.49;225;25500.00;34936.00;8777.00;2787.00;0.90;0.80;0.74;0.84;0.69
43;SVM;13.60;225;21840.00;38405.00;8969.00;2786.00;0.89;0.81;0.71;0.84;0.65
47;SVM;13.81;225;22592.00;41348.00;4501.00;3559.00;0.86;0.90;0.83;0.89;0.74
49;SVM;12.39;225;20023.00;41507.00;3736.00;6734.00;0.75;0.92;0.84;0.85;0.66
63;SVM;13.24;225;7540.00;57287.00;2350.00;4823.00;0.61;0.96;0.76;0.90;0.51
81;SVM;13.85;225;16967.00;48249.00;5410.00;1374.00;0.93;0.90;0.76;0.91;0.71
9;SVM;13.71;225;23727.00;33179.00;14680.00;414.00;0.98;0.69;0.62;0.79;0.61
90;SVM;14.17;225;30906.00;32886.00;1700.00;6508.00;0.83;0.95;0.95;0.89;0.79
91;SVM;14.13;225;27267.00;35499.00;6134.00;3100.00;0.90;0.85;0.82;0.87;0.75
98;SVM;14.23;225;35266.00;28277.00;7401.00;1056.00;0.97;0.79;0.83;0.88;0.81
99;SVM;14.88;225;25209.00;36622.00;6375.00;3794.00;0.87;0.85;0.80;0.86;0.71
