******************************************
******* Method: SVM ****************
******************************************
IMAGE_NAME  SUPERPIXELS  EXECUTION_TIME  TRUE_POSITIVES  TRUE_NEGATIVES  FALSE_POSITIVES  FALSE_NEGATIVES  SENSITIVITY  SPECIFICITY  PRECISION  ACCURACY  INTERSECTION_UNION  
105         225          12.00           20619.00        37540.00        8985.00          4856.00          0.81         0.81         0.70       0.81      0.60                
114         225          9.81            22530.00        40000.00        6051.00          3419.00          0.87         0.87         0.79       0.87      0.70                
14          225          10.33           38118.00        30878.00        2224.00          780.00           0.98         0.93         0.94       0.96      0.93                
15          225          10.39           19736.00        36674.00        13917.00         1673.00          0.92         0.72         0.59       0.78      0.56                
17          225          10.54           17520.00        48689.00        3672.00          2119.00          0.89         0.93         0.83       0.92      0.75                
18          225          10.41           15743.00        47883.00        7217.00          1157.00          0.93         0.87         0.69       0.88      0.65                
26          225          10.61           26962.00        33567.00        8810.00          2661.00          0.91         0.79         0.75       0.84      0.70                
29          225          10.37           33649.00        27873.00        9546.00          932.00           0.97         0.74         0.78       0.85      0.76                
31          225          11.36           19284.00        46119.00        3413.00          3184.00          0.86         0.93         0.85       0.91      0.75                
33          225          12.10           29167.00        37760.00        4185.00          888.00           0.97         0.90         0.87       0.93      0.85                
39          225          14.49           25500.00        34936.00        8777.00          2787.00          0.90         0.80         0.74       0.84      0.69                
43          225          13.60           21840.00        38405.00        8969.00          2786.00          0.89         0.81         0.71       0.84      0.65                
47          225          13.81           22592.00        41348.00        4501.00          3559.00          0.86         0.90         0.83       0.89      0.74                
49          225          12.39           20023.00        41507.00        3736.00          6734.00          0.75         0.92         0.84       0.85      0.66                
63          225          13.24           7540.00         57287.00        2350.00          4823.00          0.61         0.96         0.76       0.90      0.51                
81          225          13.85           16967.00        48249.00        5410.00          1374.00          0.93         0.90         0.76       0.91      0.71                
9           225          13.71           23727.00        33179.00        14680.00         414.00           0.98         0.69         0.62       0.79      0.61                
90          225          14.17           30906.00        32886.00        1700.00          6508.00          0.83         0.95         0.95       0.89      0.79                
91          225          14.13           27267.00        35499.00        6134.00          3100.00          0.90         0.85         0.82       0.87      0.75                
98          225          14.23           35266.00        28277.00        7401.00          1056.00          0.97         0.79         0.83       0.88      0.81                
99          225          14.88           25209.00        36622.00        6375.00          3794.00          0.87         0.85         0.80       0.86      0.71                
            
MEAN:       225.00       12.40           23817.38        38818.00        6573.95          2790.67          0.89         0.85         0.78       0.87      0.71                
STD:        0.00         1.68            6980.62         7253.67         3449.04          1775.16          0.09         0.08         0.09       0.04      0.09                



******************************************
******* Method: GRAB ****************
******************************************
IMAGE_NAME  SUPERPIXELS  EXECUTION_TIME  TRUE_POSITIVES  TRUE_NEGATIVES  FALSE_POSITIVES  FALSE_NEGATIVES  SENSITIVITY  SPECIFICITY  PRECISION  ACCURACY  INTERSECTION_UNION  
105         225          12.33           22648.00        42589.00        3936.00          2827.00          0.89         0.92         0.85       0.91      0.77                
114         225          10.13           24163.00        45769.00        282.00           1786.00          0.93         0.99         0.99       0.97      0.92                
14          225          10.65           37936.00        32662.00        440.00           962.00           0.98         0.99         0.99       0.98      0.96                
15          225          10.73           16516.00        49524.00        1067.00          4893.00          0.77         0.98         0.94       0.92      0.73                
17          225          10.76           18612.00        51664.00        697.00           1027.00          0.95         0.99         0.96       0.98      0.92                
18          225          10.66           16056.00        54431.00        669.00           844.00           0.95         0.99         0.96       0.98      0.91                
26          225          10.99           27537.00        40419.00        1958.00          2086.00          0.93         0.95         0.93       0.94      0.87                
29          225          10.74           30697.00        36900.00        519.00           3884.00          0.89         0.99         0.98       0.94      0.87                
31          225          11.65           21895.00        49375.00        157.00           573.00           0.97         1.00         0.99       0.99      0.97                
33          225          12.43           28935.00        41604.00        341.00           1120.00          0.96         0.99         0.99       0.98      0.95                
39          225          14.99           26909.00        41064.00        2649.00          1378.00          0.95         0.94         0.91       0.94      0.87                
43          225          13.91           22860.00        47012.00        362.00           1766.00          0.93         0.99         0.98       0.97      0.91                
47          225          14.25           24697.00        45717.00        132.00           1454.00          0.94         1.00         0.99       0.98      0.94                
49          225          12.72           16233.00        45110.00        133.00           10524.00         0.61         1.00         0.99       0.85      0.60                
63          225          13.45           6466.00         59637.00        0.00             5897.00          0.52         1.00         1.00       0.92      0.52                
81          225          14.16           16749.00        53495.00        164.00           1592.00          0.91         1.00         0.99       0.98      0.91                
9           225          14.00           23470.00        46031.00        1828.00          671.00           0.97         0.96         0.93       0.97      0.90                
90          225          14.61           33807.00        34571.00        15.00            3607.00          0.90         1.00         1.00       0.95      0.90                
91          225          14.42           28910.00        41388.00        245.00           1457.00          0.95         0.99         0.99       0.98      0.94                
98          225          14.72           33039.00        35307.00        371.00           3283.00          0.91         0.99         0.99       0.95      0.90                
99          225          15.31           22235.00        42586.00        411.00           6768.00          0.77         0.99         0.98       0.90      0.76                
            
MEAN:       225.00       12.74           23827.14        44612.14        779.81           2780.90          0.89         0.98         0.97       0.95      0.86                
STD:        0.00         1.71            7123.77         6746.03         981.49           2427.97          0.12         0.02         0.04       0.03      0.12                

