img;method;execution_time;amount_superpixels;tp;tn;fp;fn;sensitivity;specifictity;precision;accuracy;iou
105;GRAB;14.091;225;22122.000;42599.000;3926.000;3353.000;0.868;0.916;0.849;0.899;0.752
114;GRAB;12.694;225;23611.000;45854.000;197.000;2338.000;0.910;0.996;0.992;0.965;0.903
14;GRAB;12.642;225;37967.000;32659.000;443.000;931.000;0.976;0.987;0.988;0.981;0.965
15;GRAB;12.848;225;20542.000;49974.000;617.000;867.000;0.960;0.988;0.971;0.979;0.933
17;GRAB;13.315;225;17559.000;51434.000;927.000;2080.000;0.894;0.982;0.950;0.958;0.854
18;GRAB;13.315;225;15827.000;54446.000;654.000;1073.000;0.937;0.988;0.960;0.976;0.902
26;GRAB;13.428;225;28331.000;40929.000;1448.000;1292.000;0.956;0.966;0.951;0.962;0.912
29;GRAB;13.821;225;30283.000;37112.000;307.000;4298.000;0.876;0.992;0.990;0.936;0.868
31;GRAB;13.937;225;21645.000;49381.000;151.000;823.000;0.963;0.997;0.993;0.986;0.957
33;GRAB;14.399;225;28941.000;41603.000;342.000;1114.000;0.963;0.992;0.988;0.980;0.952
39;GRAB;22.309;225;26906.000;41176.000;2537.000;1381.000;0.951;0.942;0.914;0.946;0.873
43;GRAB;10.838;225;22875.000;47015.000;359.000;1751.000;0.929;0.992;0.985;0.971;0.916
47;GRAB;10.989;225;24941.000;45716.000;133.000;1210.000;0.954;0.997;0.995;0.981;0.949
49;GRAB;12.096;225;15871.000;45155.000;88.000;10886.000;0.593;0.998;0.994;0.848;0.591
63;GRAB;12.313;225;6745.000;59637.000;0.000;5618.000;0.546;1.000;1.000;0.922;0.546
81;GRAB;13.437;225;16731.000;53490.000;169.000;1610.000;0.912;0.997;0.990;0.975;0.904
9;GRAB;13.221;225;23464.000;45697.000;2162.000;677.000;0.972;0.955;0.916;0.961;0.892
90;GRAB;13.547;225;31794.000;34576.000;10.000;5620.000;0.850;1.000;1.000;0.922;0.850
91;GRAB;13.977;225;28491.000;41449.000;184.000;1876.000;0.938;0.996;0.994;0.971;0.933
98;GRAB;13.653;225;33078.000;35192.000;486.000;3244.000;0.911;0.986;0.986;0.948;0.899
99;GRAB;13.399;225;24625.000;42525.000;472.000;4378.000;0.849;0.989;0.981;0.933;0.835
