img;method;execution_time;amount_superpixels;tp;tn;fp;fn;sensitivity;specifictity;precision;accuracy;iou
105;SVM;13.787;225;20820.000;37688.000;8837.000;4655.000;0.817;0.810;0.702;0.813;0.607
114;SVM;12.342;225;23224.000;41593.000;4458.000;2725.000;0.895;0.903;0.839;0.900;0.764
14;SVM;12.316;225;37848.000;31214.000;1888.000;1050.000;0.973;0.943;0.952;0.959;0.928
15;SVM;12.552;225;19537.000;37305.000;13286.000;1872.000;0.913;0.737;0.595;0.789;0.563
17;SVM;13.045;225;17151.000;48385.000;3976.000;2488.000;0.873;0.924;0.812;0.910;0.726
18;SVM;12.953;225;15740.000;47356.000;7744.000;1160.000;0.931;0.859;0.670;0.876;0.639
26;SVM;13.039;225;28152.000;32825.000;9552.000;1471.000;0.950;0.775;0.747;0.847;0.719
29;SVM;13.254;225;33580.000;27697.000;9722.000;1001.000;0.971;0.740;0.775;0.851;0.758
31;SVM;13.665;225;18609.000;45896.000;3636.000;3859.000;0.828;0.927;0.837;0.896;0.713
33;SVM;14.088;225;28763.000;38241.000;3704.000;1292.000;0.957;0.912;0.886;0.931;0.852
39;SVM;21.935;225;25025.000;34620.000;9093.000;3262.000;0.885;0.792;0.733;0.828;0.669
43;SVM;10.536;225;21814.000;41330.000;6044.000;2812.000;0.886;0.872;0.783;0.877;0.711
47;SVM;10.736;225;22414.000;42480.000;3369.000;3737.000;0.857;0.927;0.869;0.901;0.759
49;SVM;11.771;225;19763.000;41549.000;3694.000;6994.000;0.739;0.918;0.843;0.852;0.649
63;SVM;12.119;225;7898.000;57291.000;2346.000;4465.000;0.639;0.961;0.771;0.905;0.537
81;SVM;13.183;225;16828.000;49198.000;4461.000;1513.000;0.918;0.917;0.790;0.917;0.738
9;SVM;12.720;225;23654.000;32003.000;15856.000;487.000;0.980;0.669;0.599;0.773;0.591
90;SVM;13.188;225;31006.000;32880.000;1706.000;6408.000;0.829;0.951;0.948;0.887;0.793
91;SVM;13.380;225;27676.000;35671.000;5962.000;2691.000;0.911;0.857;0.823;0.880;0.762
98;SVM;13.217;225;35207.000;27681.000;7997.000;1115.000;0.969;0.776;0.815;0.873;0.794
99;SVM;13.055;225;25648.000;34864.000;8133.000;3355.000;0.884;0.811;0.759;0.840;0.691
