******************************************
******* Method: SVM ****************
******************************************
IMAGE_NAME  SUPERPIXELS  EXECUTION_TIME  TRUE_POSITIVES  TRUE_NEGATIVES  FALSE_POSITIVES  FALSE_NEGATIVES  SENSITIVITY  SPECIFICITY  PRECISION  ACCURACY  INTERSECTION_UNION  
105         225          13.787          20820.000       37688.000       8837.000         4655.000         0.817        0.810        0.702      0.813     0.607               
114         225          12.342          23224.000       41593.000       4458.000         2725.000         0.895        0.903        0.839      0.900     0.764               
14          225          12.316          37848.000       31214.000       1888.000         1050.000         0.973        0.943        0.952      0.959     0.928               
15          225          12.552          19537.000       37305.000       13286.000        1872.000         0.913        0.737        0.595      0.789     0.563               
17          225          13.045          17151.000       48385.000       3976.000         2488.000         0.873        0.924        0.812      0.910     0.726               
18          225          12.953          15740.000       47356.000       7744.000         1160.000         0.931        0.859        0.670      0.876     0.639               
26          225          13.039          28152.000       32825.000       9552.000         1471.000         0.950        0.775        0.747      0.847     0.719               
29          225          13.254          33580.000       27697.000       9722.000         1001.000         0.971        0.740        0.775      0.851     0.758               
31          225          13.665          18609.000       45896.000       3636.000         3859.000         0.828        0.927        0.837      0.896     0.713               
33          225          14.088          28763.000       38241.000       3704.000         1292.000         0.957        0.912        0.886      0.931     0.852               
39          225          21.935          25025.000       34620.000       9093.000         3262.000         0.885        0.792        0.733      0.828     0.669               
43          225          10.536          21814.000       41330.000       6044.000         2812.000         0.886        0.872        0.783      0.877     0.711               
47          225          10.736          22414.000       42480.000       3369.000         3737.000         0.857        0.927        0.869      0.901     0.759               
49          225          11.771          19763.000       41549.000       3694.000         6994.000         0.739        0.918        0.843      0.852     0.649               
63          225          12.119          7898.000        57291.000       2346.000         4465.000         0.639        0.961        0.771      0.905     0.537               
81          225          13.183          16828.000       49198.000       4461.000         1513.000         0.918        0.917        0.790      0.917     0.738               
9           225          12.720          23654.000       32003.000       15856.000        487.000          0.980        0.669        0.599      0.773     0.591               
90          225          13.188          31006.000       32880.000       1706.000         6408.000         0.829        0.951        0.948      0.887     0.793               
91          225          13.380          27676.000       35671.000       5962.000         2691.000         0.911        0.857        0.823      0.880     0.762               
98          225          13.217          35207.000       27681.000       7997.000         1115.000         0.969        0.776        0.815      0.873     0.794               
99          225          13.055          25648.000       34864.000       8133.000         3355.000         0.884        0.811        0.759      0.840     0.691               
            
MEAN:       225.000      13.185          23826.524       38941.286       6450.667         2781.524         0.886        0.856        0.788      0.872     0.713               
STD:        0.000        2.142           6988.791        7458.742        3666.260         1734.590         0.081        0.081        0.092      0.045     0.093               



******************************************
******* Method: GRAB ****************
******************************************
IMAGE_NAME  SUPERPIXELS  EXECUTION_TIME  TRUE_POSITIVES  TRUE_NEGATIVES  FALSE_POSITIVES  FALSE_NEGATIVES  SENSITIVITY  SPECIFICITY  PRECISION  ACCURACY  INTERSECTION_UNION  
105         225          14.091          22122.000       42599.000       3926.000         3353.000         0.868        0.916        0.849      0.899     0.752               
114         225          12.694          23611.000       45854.000       197.000          2338.000         0.910        0.996        0.992      0.965     0.903               
14          225          12.642          37967.000       32659.000       443.000          931.000          0.976        0.987        0.988      0.981     0.965               
15          225          12.848          20542.000       49974.000       617.000          867.000          0.960        0.988        0.971      0.979     0.933               
17          225          13.315          17559.000       51434.000       927.000          2080.000         0.894        0.982        0.950      0.958     0.854               
18          225          13.315          15827.000       54446.000       654.000          1073.000         0.937        0.988        0.960      0.976     0.902               
26          225          13.428          28331.000       40929.000       1448.000         1292.000         0.956        0.966        0.951      0.962     0.912               
29          225          13.821          30283.000       37112.000       307.000          4298.000         0.876        0.992        0.990      0.936     0.868               
31          225          13.937          21645.000       49381.000       151.000          823.000          0.963        0.997        0.993      0.986     0.957               
33          225          14.399          28941.000       41603.000       342.000          1114.000         0.963        0.992        0.988      0.980     0.952               
39          225          22.309          26906.000       41176.000       2537.000         1381.000         0.951        0.942        0.914      0.946     0.873               
43          225          10.838          22875.000       47015.000       359.000          1751.000         0.929        0.992        0.985      0.971     0.916               
47          225          10.989          24941.000       45716.000       133.000          1210.000         0.954        0.997        0.995      0.981     0.949               
49          225          12.096          15871.000       45155.000       88.000           10886.000        0.593        0.998        0.994      0.848     0.591               
63          225          12.313          6745.000        59637.000       0.000            5618.000         0.546        1.000        1.000      0.922     0.546               
81          225          13.437          16731.000       53490.000       169.000          1610.000         0.912        0.997        0.990      0.975     0.904               
9           225          13.221          23464.000       45697.000       2162.000         677.000          0.972        0.955        0.916      0.961     0.892               
90          225          13.547          31794.000       34576.000       10.000           5620.000         0.850        1.000        1.000      0.922     0.850               
91          225          13.977          28491.000       41449.000       184.000          1876.000         0.938        0.996        0.994      0.971     0.933               
98          225          13.653          33078.000       35192.000       486.000          3244.000         0.911        0.986        0.986      0.948     0.899               
99          225          13.399          24625.000       42525.000       472.000          4378.000         0.849        0.989        0.981      0.933     0.835               
            
MEAN:       225.000      13.537          23921.381       44648.524       743.429          2686.667         0.891        0.984        0.971      0.952     0.866               
STD:        0.000        2.161           6894.837        6728.440        971.670          2376.798         0.111        0.021        0.037      0.033     0.108               

