img;method;execution_time;amount_superpixels;tp;tn;fp;fn;sensitivity;specifictity;precision;accuracy;iou
105;SVM;16.843;225;21053.000;38104.000;8421.000;4422.000;0.826;0.819;0.714;0.822;0.621
114;SVM;16.640;225;23398.000;41224.000;4827.000;2551.000;0.902;0.895;0.829;0.898;0.760
14;SVM;16.949;225;38075.000;30549.000;2553.000;823.000;0.979;0.923;0.937;0.953;0.919
15;SVM;16.401;225;19295.000;36453.000;14138.000;2114.000;0.901;0.721;0.577;0.774;0.543
17;SVM;17.139;225;17449.000;48734.000;3627.000;2190.000;0.888;0.931;0.828;0.919;0.750
18;SVM;16.476;225;15744.000;47228.000;7872.000;1156.000;0.932;0.857;0.667;0.875;0.636
26;SVM;17.493;225;28005.000;32940.000;9437.000;1618.000;0.945;0.777;0.748;0.846;0.717
29;SVM;16.528;225;33702.000;27029.000;10390.000;879.000;0.975;0.722;0.764;0.843;0.749
31;SVM;17.398;225;18679.000;46621.000;2911.000;3789.000;0.831;0.941;0.865;0.907;0.736
33;SVM;15.779;225;28598.000;37886.000;4059.000;1457.000;0.952;0.903;0.876;0.923;0.838
39;SVM;17.667;225;24925.000;34710.000;9003.000;3362.000;0.881;0.794;0.735;0.828;0.668
43;SVM;15.965;225;22011.000;39337.000;8037.000;2615.000;0.894;0.830;0.733;0.852;0.674
47;SVM;16.334;225;22414.000;42480.000;3369.000;3737.000;0.857;0.927;0.869;0.901;0.759
49;SVM;17.390;225;20029.000;41516.000;3727.000;6728.000;0.749;0.918;0.843;0.855;0.657
63;SVM;16.445;225;7927.000;57295.000;2342.000;4436.000;0.641;0.961;0.772;0.906;0.539
81;SVM;17.411;225;16896.000;49005.000;4654.000;1445.000;0.921;0.913;0.784;0.915;0.735
9;SVM;16.859;225;23642.000;32958.000;14901.000;499.000;0.979;0.689;0.613;0.786;0.606
90;SVM;17.963;225;30771.000;32910.000;1676.000;6643.000;0.822;0.952;0.948;0.884;0.787
91;SVM;16.257;225;27720.000;36338.000;5295.000;2647.000;0.913;0.873;0.840;0.890;0.777
98;SVM;17.277;225;34783.000;27468.000;8210.000;1539.000;0.958;0.770;0.809;0.865;0.781
99;SVM;15.825;225;25747.000;35548.000;7449.000;3256.000;0.888;0.827;0.776;0.851;0.706
