******************************************
******* Method: SVM ****************
******************************************
IMAGE_NAME  SUPERPIXELS  EXECUTION_TIME  TRUE_POSITIVES  TRUE_NEGATIVES  FALSE_POSITIVES  FALSE_NEGATIVES  SENSITIVITY  SPECIFICITY  PRECISION  ACCURACY  INTERSECTION_UNION  
105         225          16.843          21053.000       38104.000       8421.000         4422.000         0.826        0.819        0.714      0.822     0.621               
114         225          16.640          23398.000       41224.000       4827.000         2551.000         0.902        0.895        0.829      0.898     0.760               
14          225          16.949          38075.000       30549.000       2553.000         823.000          0.979        0.923        0.937      0.953     0.919               
15          225          16.401          19295.000       36453.000       14138.000        2114.000         0.901        0.721        0.577      0.774     0.543               
17          225          17.139          17449.000       48734.000       3627.000         2190.000         0.888        0.931        0.828      0.919     0.750               
18          225          16.476          15744.000       47228.000       7872.000         1156.000         0.932        0.857        0.667      0.875     0.636               
26          225          17.493          28005.000       32940.000       9437.000         1618.000         0.945        0.777        0.748      0.846     0.717               
29          225          16.528          33702.000       27029.000       10390.000        879.000          0.975        0.722        0.764      0.843     0.749               
31          225          17.398          18679.000       46621.000       2911.000         3789.000         0.831        0.941        0.865      0.907     0.736               
33          225          15.779          28598.000       37886.000       4059.000         1457.000         0.952        0.903        0.876      0.923     0.838               
39          225          17.667          24925.000       34710.000       9003.000         3362.000         0.881        0.794        0.735      0.828     0.668               
43          225          15.965          22011.000       39337.000       8037.000         2615.000         0.894        0.830        0.733      0.852     0.674               
47          225          16.334          22414.000       42480.000       3369.000         3737.000         0.857        0.927        0.869      0.901     0.759               
49          225          17.390          20029.000       41516.000       3727.000         6728.000         0.749        0.918        0.843      0.855     0.657               
63          225          16.445          7927.000        57295.000       2342.000         4436.000         0.641        0.961        0.772      0.906     0.539               
81          225          17.411          16896.000       49005.000       4654.000         1445.000         0.921        0.913        0.784      0.915     0.735               
9           225          16.859          23642.000       32958.000       14901.000        499.000          0.979        0.689        0.613      0.786     0.606               
90          225          17.963          30771.000       32910.000       1676.000         6643.000         0.822        0.952        0.948      0.884     0.787               
91          225          16.257          27720.000       36338.000       5295.000         2647.000         0.913        0.873        0.840      0.890     0.777               
98          225          17.277          34783.000       27468.000       8210.000         1539.000         0.958        0.770        0.809      0.865     0.781               
99          225          15.825          25747.000       35548.000       7449.000         3256.000         0.888        0.827        0.776      0.851     0.706               
            
MEAN:       225.000      16.811          23850.619       38873.000       6518.952         2757.429         0.887        0.854        0.787      0.871     0.712               
STD:        0.000        0.606           6937.009        7503.858        3645.445         1704.789         0.080        0.081        0.093      0.045     0.091               



******************************************
******* Method: GRAB ****************
******************************************
IMAGE_NAME  SUPERPIXELS  EXECUTION_TIME  TRUE_POSITIVES  TRUE_NEGATIVES  FALSE_POSITIVES  FALSE_NEGATIVES  SENSITIVITY  SPECIFICITY  PRECISION  ACCURACY  INTERSECTION_UNION  
105         225          17.220          22599.000       43032.000       3493.000         2876.000         0.887        0.925        0.866      0.912     0.780               
114         225          17.005          24366.000       45844.000       207.000          1583.000         0.939        0.996        0.992      0.975     0.932               
14          225          17.293          37796.000       32648.000       454.000          1102.000         0.972        0.986        0.988      0.978     0.960               
15          225          16.775          20615.000       47332.000       3259.000         794.000          0.963        0.936        0.863      0.944     0.836               
17          225          17.401          18561.000       51613.000       748.000          1078.000         0.945        0.986        0.961      0.975     0.910               
18          225          16.753          16113.000       54346.000       754.000          787.000          0.953        0.986        0.955      0.979     0.913               
26          225          17.895          28599.000       40062.000       2315.000         1024.000         0.965        0.945        0.925      0.954     0.895               
29          225          16.960          30679.000       36901.000       518.000          3902.000         0.887        0.986        0.983      0.939     0.874               
31          225          17.715          21817.000       49380.000       152.000          651.000          0.971        0.997        0.993      0.989     0.965               
33          225          16.091          29189.000       41602.000       343.000          866.000          0.971        0.992        0.988      0.983     0.960               
39          225          18.051          25392.000       43480.000       233.000          2895.000         0.898        0.995        0.991      0.957     0.890               
43          225          16.778          23318.000       46904.000       470.000          1308.000         0.947        0.990        0.980      0.975     0.929               
47          225          16.620          24941.000       45716.000       133.000          1210.000         0.954        0.997        0.995      0.981     0.949               
49          225          17.756          16255.000       45136.000       107.000          10502.000        0.608        0.998        0.993      0.853     0.605               
63          225          16.668          6707.000        59637.000       0.000            5656.000         0.543        1.000        1.000      0.921     0.543               
81          225          17.690          16726.000       53491.000       168.000          1615.000         0.912        0.997        0.990      0.975     0.904               
9           225          17.183          23464.000       45702.000       2157.000         677.000          0.972        0.955        0.916      0.961     0.892               
90          225          18.346          31763.000       34576.000       10.000           5651.000         0.849        1.000        1.000      0.921     0.849               
91          225          16.611          28739.000       41464.000       169.000          1628.000         0.946        0.996        0.994      0.975     0.941               
98          225          17.747          33097.000       34925.000       753.000          3225.000         0.911        0.979        0.978      0.945     0.893               
99          225          16.201          23988.000       42583.000       414.000          5015.000         0.827        0.990        0.983      0.925     0.815               
            
MEAN:       225.000      17.179          24034.476       44589.238       802.714          2573.571         0.896        0.982        0.968      0.953     0.868               
STD:        0.000        0.599           6810.690        6664.223        1027.904         2388.492         0.112        0.022        0.040      0.032     0.107               

