img;method;execution_time;amount_superpixels;tp;tn;fp;fn;sensitivity;specifictity;precision;accuracy;iou;mean;max ;min
105;GRAB;11.55;208;25060.00;42811.00;3714.00;415.00;0,98;0,92;0,87;0,94;0,86;0,914;0,982;0,778
114;GRAB;9.89;210;24649.00;45513.00;538.00;1300.00;0,95;0,99;0,98;0,97;0,93;0,964;;
14;GRAB;9.60;216;36328.00;32834.00;268.00;2570.00;0,93;0,99;0,99;0,96;0,93;0,96;;
15;GRAB;9.40;213;19027.00;49755.00;836.00;2382.00;0,89;0,98;0,96;0,96;0,86;0,93;;
17;GRAB;9.36;212;19288.00;51526.00;835.00;351.00;0,98;0,98;0,96;0,98;0,94;0,968;;
18;GRAB;9.47;216;16608.00;54276.00;824.00;292.00;0,98;0,99;0,95;0,98;0,94;0,968;;
26;GRAB;9.34;210;28154.00;42131.00;246.00;1469.00;0,95;0,99;0,99;0,98;0,94;0,97;;
29;GRAB;9.95;225;31450.00;35805.00;1614.00;3131.00;0,91;0,96;0,95;0,93;0,87;0,924;;
31;GRAB;9.22;218;21683.00;49364.00;168.00;785.00;0,97;1;0,99;0,99;0,96;0,982;;
33;GRAB;9.45;214;28936.00;41570.00;375.00;1119.00;0,96;0,99;0,99;0,98;0,95;0,974;;
39;GRAB;9.46;212;27877.00;41143.00;2570.00;410.00;0,99;0,94;0,92;0,96;0,9;0,942;;
43;GRAB;9.22;209;22838.00;47083.00;291.00;1788.00;0,93;0,99;0,99;0,97;0,92;0,96;;
47;GRAB;9.57;217;22421.00;45622.00;227.00;3730.00;0,86;1;0,99;0,95;0,85;0,93;;
49;GRAB;9.13;209;24529.00;44991.00;252.00;2228.00;0,92;0,99;0,99;0,97;0,91;0,956;;
63;GRAB;9.44;211;6033.00;59637.00;0.00;6330.00;0,49;1;1;0,91;0,49;0,778;;
81;GRAB;9.48;211;17077.00;53452.00;207.00;1264.00;0,93;1;0,99;0,98;0,92;0,964;;
9;GRAB;9.58;212;23458.00;45556.00;2303.00;683.00;0,97;0,95;0,91;0,96;0,89;0,936;;
90;GRAB;9.42;214;34726.00;34564.00;22.00;2688.00;0,93;1;1;0,96;0,93;0,964;;
91;GRAB;9.67;216;29089.00;41401.00;232.00;1278.00;0,96;0,99;0,99;0,98;0,95;0,974;;
98;GRAB;9.62;220;33281.00;35360.00;318.00;3041.00;0,92;0,99;0,99;0,95;0,91;0,952;;
99;GRAB;9.48;215;26445.00;42222.00;775.00;2558.00;0,91;0,98;0,97;0,95;0,89;0,94;;
