img;method;execution_time;amount_superpixels;tp;tn;fp;fn;sensitivity;specifictity;precision;accuracy;iou
105;SVM;11.21;208;21563.00;35670.00;10855.00;3912.00;0.85;0.77;0.67;0.79;0.59
114;SVM;9.55;210;21387.00;40282.00;5769.00;4562.00;0.82;0.87;0.79;0.86;0.67
14;SVM;9.29;216;36665.00;31535.00;1567.00;2233.00;0.94;0.95;0.96;0.95;0.91
15;SVM;9.15;213;16919.00;37043.00;13548.00;4490.00;0.79;0.73;0.56;0.75;0.48
17;SVM;9.15;212;17443.00;48999.00;3362.00;2196.00;0.89;0.94;0.84;0.92;0.76
18;SVM;9.27;216;14954.00;50123.00;4977.00;1946.00;0.88;0.91;0.75;0.90;0.68
26;SVM;9.02;210;27985.00;32495.00;9882.00;1638.00;0.94;0.77;0.74;0.84;0.71
29;SVM;9.51;225;34168.00;26473.00;10946.00;413.00;0.99;0.71;0.76;0.84;0.75
31;SVM;9.00;218;18619.00;48192.00;1340.00;3849.00;0.83;0.97;0.93;0.93;0.78
33;SVM;9.19;214;28911.00;36210.00;5735.00;1144.00;0.96;0.86;0.83;0.90;0.81
39;SVM;9.09;212;26836.00;31656.00;12057.00;1451.00;0.95;0.72;0.69;0.81;0.67
43;SVM;8.95;209;21778.00;35821.00;11553.00;2848.00;0.88;0.76;0.65;0.80;0.60
47;SVM;9.33;217;20740.00;37492.00;8357.00;5411.00;0.79;0.82;0.71;0.81;0.60
49;SVM;8.90;209;23376.00;37957.00;7286.00;3381.00;0.87;0.84;0.76;0.85;0.69
63;SVM;9.25;211;6433.00;58482.00;1155.00;5930.00;0.52;0.98;0.85;0.90;0.48
81;SVM;9.25;211;16374.00;48551.00;5108.00;1967.00;0.89;0.90;0.76;0.90;0.70
9;SVM;9.29;212;23121.00;30159.00;17700.00;1020.00;0.96;0.63;0.57;0.74;0.55
90;SVM;9.09;214;31639.00;32405.00;2181.00;5775.00;0.85;0.94;0.94;0.89;0.80
91;SVM;9.40;216;27517.00;34807.00;6826.00;2850.00;0.91;0.84;0.80;0.87;0.74
98;SVM;9.27;220;35768.00;26948.00;8730.00;554.00;0.98;0.76;0.80;0.87;0.79
99;SVM;9.11;215;26293.00;36876.00;6121.00;2710.00;0.91;0.86;0.81;0.88;0.75
