******************************************
******* Method: SVM ****************
******************************************
IMAGE_NAME  SUPERPIXELS  EXECUTION_TIME  TRUE_POSITIVES  TRUE_NEGATIVES  FALSE_POSITIVES  FALSE_NEGATIVES  SENSITIVITY  SPECIFICITY  PRECISION  ACCURACY  INTERSECTION_UNION  
105         208          11.21           21563.00        35670.00        10855.00         3912.00          0.85         0.77         0.67       0.79      0.59                
114         210          9.55            21387.00        40282.00        5769.00          4562.00          0.82         0.87         0.79       0.86      0.67                
14          216          9.29            36665.00        31535.00        1567.00          2233.00          0.94         0.95         0.96       0.95      0.91                
15          213          9.15            16919.00        37043.00        13548.00         4490.00          0.79         0.73         0.56       0.75      0.48                
17          212          9.15            17443.00        48999.00        3362.00          2196.00          0.89         0.94         0.84       0.92      0.76                
18          216          9.27            14954.00        50123.00        4977.00          1946.00          0.88         0.91         0.75       0.90      0.68                
26          210          9.02            27985.00        32495.00        9882.00          1638.00          0.94         0.77         0.74       0.84      0.71                
29          225          9.51            34168.00        26473.00        10946.00         413.00           0.99         0.71         0.76       0.84      0.75                
31          218          9.00            18619.00        48192.00        1340.00          3849.00          0.83         0.97         0.93       0.93      0.78                
33          214          9.19            28911.00        36210.00        5735.00          1144.00          0.96         0.86         0.83       0.90      0.81                
39          212          9.09            26836.00        31656.00        12057.00         1451.00          0.95         0.72         0.69       0.81      0.67                
43          209          8.95            21778.00        35821.00        11553.00         2848.00          0.88         0.76         0.65       0.80      0.60                
47          217          9.33            20740.00        37492.00        8357.00          5411.00          0.79         0.82         0.71       0.81      0.60                
49          209          8.90            23376.00        37957.00        7286.00          3381.00          0.87         0.84         0.76       0.85      0.69                
63          211          9.25            6433.00         58482.00        1155.00          5930.00          0.52         0.98         0.85       0.90      0.48                
81          211          9.25            16374.00        48551.00        5108.00          1967.00          0.89         0.90         0.76       0.90      0.70                
9           212          9.29            23121.00        30159.00        17700.00         1020.00          0.96         0.63         0.57       0.74      0.55                
90          214          9.09            31639.00        32405.00        2181.00          5775.00          0.85         0.94         0.94       0.89      0.80                
91          216          9.40            27517.00        34807.00        6826.00          2850.00          0.91         0.84         0.80       0.87      0.74                
98          220          9.27            35768.00        26948.00        8730.00          554.00           0.98         0.76         0.80       0.87      0.79                
99          215          9.11            26293.00        36876.00        6121.00          2710.00          0.91         0.86         0.81       0.88      0.75                
            
MEAN:       213.71       9.30            23737.57        38008.38        7383.57          2870.48          0.88         0.83         0.77       0.86      0.69                
STD:        4.04         0.46            7319.32         8147.54         4298.39          1632.14          0.10         0.10         0.11       0.06      0.11                



******************************************
******* Method: GRAB ****************
******************************************
IMAGE_NAME  SUPERPIXELS  EXECUTION_TIME  TRUE_POSITIVES  TRUE_NEGATIVES  FALSE_POSITIVES  FALSE_NEGATIVES  SENSITIVITY  SPECIFICITY  PRECISION  ACCURACY  INTERSECTION_UNION  
105         208          11.55           25060.00        42811.00        3714.00          415.00           0.98         0.92         0.87       0.94      0.86                
114         210          9.89            24649.00        45513.00        538.00           1300.00          0.95         0.99         0.98       0.97      0.93                
14          216          9.60            36328.00        32834.00        268.00           2570.00          0.93         0.99         0.99       0.96      0.93                
15          213          9.40            19027.00        49755.00        836.00           2382.00          0.89         0.98         0.96       0.96      0.86                
17          212          9.36            19288.00        51526.00        835.00           351.00           0.98         0.98         0.96       0.98      0.94                
18          216          9.47            16608.00        54276.00        824.00           292.00           0.98         0.99         0.95       0.98      0.94                
26          210          9.34            28154.00        42131.00        246.00           1469.00          0.95         0.99         0.99       0.98      0.94                
29          225          9.95            31450.00        35805.00        1614.00          3131.00          0.91         0.96         0.95       0.93      0.87                
31          218          9.22            21683.00        49364.00        168.00           785.00           0.97         1.00         0.99       0.99      0.96                
33          214          9.45            28936.00        41570.00        375.00           1119.00          0.96         0.99         0.99       0.98      0.95                
39          212          9.46            27877.00        41143.00        2570.00          410.00           0.99         0.94         0.92       0.96      0.90                
43          209          9.22            22838.00        47083.00        291.00           1788.00          0.93         0.99         0.99       0.97      0.92                
47          217          9.57            22421.00        45622.00        227.00           3730.00          0.86         1.00         0.99       0.95      0.85                
49          209          9.13            24529.00        44991.00        252.00           2228.00          0.92         0.99         0.99       0.97      0.91                
63          211          9.44            6033.00         59637.00        0.00             6330.00          0.49         1.00         1.00       0.91      0.49                
81          211          9.48            17077.00        53452.00        207.00           1264.00          0.93         1.00         0.99       0.98      0.92                
9           212          9.58            23458.00        45556.00        2303.00          683.00           0.97         0.95         0.91       0.96      0.89                
90          214          9.42            34726.00        34564.00        22.00            2688.00          0.93         1.00         1.00       0.96      0.93                
91          216          9.67            29089.00        41401.00        232.00           1278.00          0.96         0.99         0.99       0.98      0.95                
98          220          9.62            33281.00        35360.00        318.00           3041.00          0.92         0.99         0.99       0.95      0.91                
99          215          9.48            26445.00        42222.00        775.00           2558.00          0.91         0.98         0.97       0.95      0.89                
            
MEAN:       213.71       9.59            24712.24        44600.76        791.19           1895.81          0.92         0.98         0.97       0.96      0.89                
STD:        4.04         0.48            6797.01         6735.30         946.83           1409.62          0.10         0.02         0.03       0.02      0.10                

