img;method;execution_time;amount_superpixels;tp;tn;fp;fn;sensitivity;specifictity;precision;accuracy;iou
105;GRAB;10.390;225;20383.000;46095.000;430.000;5092.000;0.800;0.991;0.979;0.923;0.787
114;GRAB;8.350;225;9593.000;46051.000;0.000;16356.000;0.370;1.000;1.000;0.773;0.370
14;GRAB;8.490;225;26030.000;33070.000;32.000;12868.000;0.669;0.999;0.999;0.821;0.669
15;GRAB;8.450;225;3609.000;50367.000;224.000;17800.000;0.169;0.996;0.942;0.750;0.167
17;GRAB;8.580;225;3140.000;52361.000;0.000;16499.000;0.160;1.000;1.000;0.771;0.160
18;GRAB;8.980;225;10246.000;54648.000;452.000;6654.000;0.606;0.992;0.958;0.901;0.590
26;GRAB;9.050;225;21222.000;42324.000;53.000;8401.000;0.716;0.999;0.998;0.883;0.715
29;GRAB;10.090;225;29139.000;36995.000;424.000;5442.000;0.843;0.989;0.986;0.919;0.832
31;GRAB;9.540;225;3087.000;49526.000;6.000;19381.000;0.137;1.000;0.998;0.731;0.137
33;GRAB;9.990;225;26385.000;39214.000;2731.000;3670.000;0.878;0.935;0.906;0.911;0.805
39;GRAB;9.760;225;7994.000;43632.000;81.000;20293.000;0.283;0.998;0.990;0.717;0.282
43;GRAB;10.170;225;9037.000;47337.000;37.000;15589.000;0.367;0.999;0.996;0.783;0.366
47;GRAB;11.180;225;16860.000;45849.000;0.000;9291.000;0.645;1.000;1.000;0.871;0.645
49;GRAB;13.240;225;1660.000;45243.000;0.000;25097.000;0.062;1.000;1.000;0.651;0.062
63;GRAB;11.410;225;3548.000;59509.000;128.000;8815.000;0.287;0.998;0.965;0.876;0.284
81;GRAB;11.980;225;11452.000;53637.000;22.000;6889.000;0.624;1.000;0.998;0.904;0.624
9;GRAB;13.240;225;17455.000;47500.000;359.000;6686.000;0.723;0.992;0.980;0.902;0.712
90;GRAB;12.220;225;4555.000;32066.000;2520.000;32859.000;0.122;0.927;0.644;0.509;0.114
91;GRAB;12.760;225;21942.000;39375.000;2258.000;8425.000;0.723;0.946;0.907;0.852;0.673
98;GRAB;12.940;225;15854.000;35670.000;8.000;20468.000;0.436;1.000;0.999;0.716;0.436
99;GRAB;12.740;225;16227.000;42941.000;56.000;12776.000;0.559;0.999;0.997;0.822;0.558
