img;method;execution_time;amount_superpixels;tp;tn;fp;fn;sensitivity;specifictity;precision;accuracy;iou
105;SVM;9.940;225;21043.000;43304.000;3221.000;4432.000;0.826;0.931;0.867;0.894;0.733
114;SVM;8.120;225;12567.000;41135.000;4916.000;13382.000;0.484;0.893;0.719;0.746;0.407
14;SVM;8.140;225;25250.000;31270.000;1832.000;13648.000;0.649;0.945;0.932;0.785;0.620
15;SVM;8.260;225;10040.000;42833.000;7758.000;11369.000;0.469;0.847;0.564;0.734;0.344
17;SVM;8.420;225;11062.000;51171.000;1190.000;8577.000;0.563;0.977;0.903;0.864;0.531
18;SVM;8.750;225;10080.000;50419.000;4681.000;6820.000;0.596;0.915;0.683;0.840;0.467
26;SVM;8.700;225;19201.000;39330.000;3047.000;10422.000;0.648;0.928;0.863;0.813;0.588
29;SVM;9.760;225;25378.000;34368.000;3051.000;9203.000;0.734;0.918;0.893;0.830;0.674
31;SVM;9.320;225;6869.000;48671.000;861.000;15599.000;0.306;0.983;0.889;0.771;0.294
33;SVM;9.670;225;19327.000;30925.000;11020.000;10728.000;0.643;0.737;0.637;0.698;0.471
39;SVM;9.560;225;12620.000;42365.000;1348.000;15667.000;0.446;0.969;0.903;0.764;0.426
43;SVM;9.900;225;13794.000;34325.000;13049.000;10832.000;0.560;0.725;0.514;0.668;0.366
47;SVM;10.930;225;13887.000;44820.000;1029.000;12264.000;0.531;0.978;0.931;0.815;0.511
49;SVM;11.140;225;9490.000;37925.000;7318.000;17267.000;0.355;0.838;0.565;0.659;0.279
63;SVM;11.240;225;4074.000;54555.000;5082.000;8289.000;0.330;0.915;0.445;0.814;0.234
81;SVM;11.690;225;12517.000;50874.000;2785.000;5824.000;0.682;0.948;0.818;0.880;0.592
9;SVM;12.960;225;14464.000;39265.000;8594.000;9677.000;0.599;0.820;0.627;0.746;0.442
90;SVM;11.950;225;13467.000;30937.000;3649.000;23947.000;0.360;0.894;0.787;0.617;0.328
91;SVM;12.390;225;23432.000;33631.000;8002.000;6935.000;0.772;0.808;0.745;0.793;0.611
98;SVM;12.620;225;22376.000;30608.000;5070.000;13946.000;0.616;0.858;0.815;0.736;0.541
99;SVM;12.470;225;16635.000;35470.000;7527.000;12368.000;0.574;0.825;0.688;0.724;0.455
