******************************************
******* Method: SVM ****************
******************************************
IMAGE_NAME  SUPERPIXELS  EXECUTION_TIME  TRUE_POSITIVES  TRUE_NEGATIVES  FALSE_POSITIVES  FALSE_NEGATIVES  SENSITIVITY  SPECIFICITY  PRECISION  ACCURACY  INTERSECTION_UNION  
105         225          9.940           21043.000       43304.000       3221.000         4432.000         0.826        0.931        0.867      0.894     0.733               
114         225          8.120           12567.000       41135.000       4916.000         13382.000        0.484        0.893        0.719      0.746     0.407               
14          225          8.140           25250.000       31270.000       1832.000         13648.000        0.649        0.945        0.932      0.785     0.620               
15          225          8.260           10040.000       42833.000       7758.000         11369.000        0.469        0.847        0.564      0.734     0.344               
17          225          8.420           11062.000       51171.000       1190.000         8577.000         0.563        0.977        0.903      0.864     0.531               
18          225          8.750           10080.000       50419.000       4681.000         6820.000         0.596        0.915        0.683      0.840     0.467               
26          225          8.700           19201.000       39330.000       3047.000         10422.000        0.648        0.928        0.863      0.813     0.588               
29          225          9.760           25378.000       34368.000       3051.000         9203.000         0.734        0.918        0.893      0.830     0.674               
31          225          9.320           6869.000        48671.000       861.000          15599.000        0.306        0.983        0.889      0.771     0.294               
33          225          9.670           19327.000       30925.000       11020.000        10728.000        0.643        0.737        0.637      0.698     0.471               
39          225          9.560           12620.000       42365.000       1348.000         15667.000        0.446        0.969        0.903      0.764     0.426               
43          225          9.900           13794.000       34325.000       13049.000        10832.000        0.560        0.725        0.514      0.668     0.366               
47          225          10.930          13887.000       44820.000       1029.000         12264.000        0.531        0.978        0.931      0.815     0.511               
49          225          11.140          9490.000        37925.000       7318.000         17267.000        0.355        0.838        0.565      0.659     0.279               
63          225          11.240          4074.000        54555.000       5082.000         8289.000         0.330        0.915        0.445      0.814     0.234               
81          225          11.690          12517.000       50874.000       2785.000         5824.000         0.682        0.948        0.818      0.880     0.592               
9           225          12.960          14464.000       39265.000       8594.000         9677.000         0.599        0.820        0.627      0.746     0.442               
90          225          11.950          13467.000       30937.000       3649.000         23947.000        0.360        0.894        0.787      0.617     0.328               
91          225          12.390          23432.000       33631.000       8002.000         6935.000         0.772        0.808        0.745      0.793     0.611               
98          225          12.620          22376.000       30608.000       5070.000         13946.000        0.616        0.858        0.815      0.736     0.541               
99          225          12.470          16635.000       35470.000       7527.000         12368.000        0.574        0.825        0.688      0.724     0.455               
            
MEAN:       225.000      10.282          15122.524       40390.524       5001.429         11485.524        0.559        0.888        0.752      0.771     0.472               
STD:        0.000        1.585           5842.223        7379.829        3314.759         4322.774         0.141        0.074        0.145      0.072     0.133               



******************************************
******* Method: GRAB ****************
******************************************
IMAGE_NAME  SUPERPIXELS  EXECUTION_TIME  TRUE_POSITIVES  TRUE_NEGATIVES  FALSE_POSITIVES  FALSE_NEGATIVES  SENSITIVITY  SPECIFICITY  PRECISION  ACCURACY  INTERSECTION_UNION  
105         225          10.390          20383.000       46095.000       430.000          5092.000         0.800        0.991        0.979      0.923     0.787               
114         225          8.350           9593.000        46051.000       0.000            16356.000        0.370        1.000        1.000      0.773     0.370               
14          225          8.490           26030.000       33070.000       32.000           12868.000        0.669        0.999        0.999      0.821     0.669               
15          225          8.450           3609.000        50367.000       224.000          17800.000        0.169        0.996        0.942      0.750     0.167               
17          225          8.580           3140.000        52361.000       0.000            16499.000        0.160        1.000        1.000      0.771     0.160               
18          225          8.980           10246.000       54648.000       452.000          6654.000         0.606        0.992        0.958      0.901     0.590               
26          225          9.050           21222.000       42324.000       53.000           8401.000         0.716        0.999        0.998      0.883     0.715               
29          225          10.090          29139.000       36995.000       424.000          5442.000         0.843        0.989        0.986      0.919     0.832               
31          225          9.540           3087.000        49526.000       6.000            19381.000        0.137        1.000        0.998      0.731     0.137               
33          225          9.990           26385.000       39214.000       2731.000         3670.000         0.878        0.935        0.906      0.911     0.805               
39          225          9.760           7994.000        43632.000       81.000           20293.000        0.283        0.998        0.990      0.717     0.282               
43          225          10.170          9037.000        47337.000       37.000           15589.000        0.367        0.999        0.996      0.783     0.366               
47          225          11.180          16860.000       45849.000       0.000            9291.000         0.645        1.000        1.000      0.871     0.645               
49          225          13.240          1660.000        45243.000       0.000            25097.000        0.062        1.000        1.000      0.651     0.062               
63          225          11.410          3548.000        59509.000       128.000          8815.000         0.287        0.998        0.965      0.876     0.284               
81          225          11.980          11452.000       53637.000       22.000           6889.000         0.624        1.000        0.998      0.904     0.624               
9           225          13.240          17455.000       47500.000       359.000          6686.000         0.723        0.992        0.980      0.902     0.712               
90          225          12.220          4555.000        32066.000       2520.000         32859.000        0.122        0.927        0.644      0.509     0.114               
91          225          12.760          21942.000       39375.000       2258.000         8425.000         0.723        0.946        0.907      0.852     0.673               
98          225          12.940          15854.000       35670.000       8.000            20468.000        0.436        1.000        0.999      0.716     0.436               
99          225          12.740          16227.000       42941.000       56.000           12776.000        0.559        0.999        0.997      0.822     0.558               
            
MEAN:       225.000      10.645          13305.619       44924.286       467.667          13302.429        0.485        0.988        0.964      0.809     0.476               
STD:        0.000        1.691           8446.204        7021.984        847.806          7365.727         0.258        0.022        0.077      0.103     0.249               

